Wavelengt [nm],s1.2,s2.2,s3.2,s4.2
333.8,3.5096436099132584e-23,3.575258899187827e-23,4.3179630891112157e-23,7.127704473982269e-23
334.0,3.601293289434802e-23,3.615094652939223e-23,4.5578499273951724e-23,7.243288870857658e-23
334.2,3.655204865623946e-23,3.7644787295069594e-23,4.937670754678103e-23,7.358873267733045e-23
334.4,3.806157278953548e-23,3.913862806074696e-23,5.177557592962059e-23,7.70562645835921e-23
334.6,3.913980431331836e-23,4.033370067328885e-23,4.9976424642490926e-23,7.821210855234598e-23
334.8,3.9571096922831513e-23,4.0831647595181307e-23,4.957661324535099e-23,7.898267119818191e-23
335.0,4.0595416870425243e-23,4.152877328583074e-23,5.0176330341060887e-23,8.167964045860763e-23
335.2,4.113453263231668e-23,4.1329594517073767e-23,4.9976424642490926e-23,7.590042061483822e-23
335.4,4.1943206275153835e-23,4.1130415748316785e-23,5.137576453248067e-23,7.281817003149455e-23
335.6,4.3129260951315e-23,4.272384589837264e-23,5.1975481628190553e-23,7.782682722942803e-23
335.8,4.4315315627476157e-23,4.421768666405e-23,5.477416140817005e-23,8.129435913568968e-23
336.0,4.544745872744818e-23,4.431727604842849e-23,5.437435001103012e-23,7.936795252109987e-23
336.2,4.5878751336961326e-23,4.381932912653603e-23,5.137576453248067e-23,7.70562645835921e-23
336.4,4.582483976077219e-23,4.431727604842849e-23,5.0975953135340737e-23,7.782682722942803e-23
336.6,4.636395552266362e-23,4.4616044201563965e-23,5.257519872390045e-23,7.590042061483822e-23
336.8,4.7226540741689924e-23,4.421768666405e-23,5.0975953135340737e-23,7.782682722942803e-23
337.0,4.7711744927392214e-23,4.411809727967151e-23,4.8577084752501175e-23,7.744154590651007e-23
337.2,4.8628241722607665e-23,4.401850789529302e-23,5.057614173820081e-23,7.435929532316639e-23
337.4,4.9490826941633966e-23,4.501440173907793e-23,5.1175858833910703e-23,7.551513929192026e-23
337.6,5.046123531303855e-23,4.4815222970320946e-23,5.157567023105063e-23,7.474457664608434e-23
337.8,5.1054262651119135e-23,4.391891851091453e-23,5.1175858833910703e-23,6.780951283356105e-23
338.0,5.1809024717767145e-23,4.371973974215755e-23,5.0776047436770776e-23,6.74242315106431e-23
338.2,5.310290254630659e-23,4.421768666405e-23,5.0975953135340737e-23,7.551513929192026e-23
338.4,5.331854885106317e-23,4.4616044201563965e-23,5.0176330341060887e-23,7.744154590651007e-23
338.6,5.369592988438717e-23,4.4416865432806983e-23,4.837717905393121e-23,7.667098326067415e-23
338.8,5.412722249390032e-23,4.3620150357779056e-23,4.5578499273951724e-23,7.127704473982269e-23
339.0,5.450460352722432e-23,4.2823435282751124e-23,4.45789707811019e-23,6.318613695854553e-23
339.2,5.531327717006149e-23,4.1927130823344706e-23,4.5978310671091646e-23,6.318613695854553e-23
339.4,5.563674662719634e-23,4.1130415748316785e-23,4.877699045107114e-23,6.703895018772513e-23
339.6,5.482807298435919e-23,4.1329594517073767e-23,4.67779334653715e-23,6.780951283356105e-23
339.8,5.445069195103519e-23,4.1628362670209233e-23,4.23800080968323e-23,6.626838754188921e-23
340.0,5.439678037484604e-23,4.1329594517073767e-23,4.1780291001122406e-23,6.665366886480717e-23
340.2,5.428895722246775e-23,4.033370067328885e-23,4.257991379540226e-23,6.511254357313532e-23
340.4,5.34802835796306e-23,3.893944929198998e-23,4.198019669969238e-23,6.43419809272994e-23
340.6,5.288725624155002e-23,3.824232360134054e-23,4.1380479603982484e-23,6.241557431270961e-23
340.8,5.342637200344145e-23,3.7843966063826575e-23,4.277981949397223e-23,6.087444902103777e-23
341.0,5.277943308917173e-23,3.65493040669062e-23,4.337953658968212e-23,6.010388637520184e-23
341.2,5.1701201565388854e-23,3.615094652939223e-23,3.998113971399274e-23,6.203029298979164e-23
341.4,5.1431643684443134e-23,3.605135714501374e-23,3.8781705522572956e-23,6.588310621897126e-23
341.6,5.035341216066026e-23,3.5254642069985813e-23,3.8781705522572956e-23,6.549782489605329e-23
341.8,4.9598650094012246e-23,3.415915884182241e-23,3.8981611221142917e-23,6.280085563562756e-23
342.0,4.9922119551147114e-23,3.3163264998037505e-23,4.1580385302552445e-23,6.087444902103777e-23
342.2,4.9275180636877383e-23,3.236654992300957e-23,3.8581799824002994e-23,5.817747976061205e-23
342.4,4.8089125960716225e-23,3.2764907460523536e-23,3.538330864688357e-23,5.894804240644796e-23
342.6,4.7172629165500775e-23,3.296408622928052e-23,3.57831200440235e-23,6.203029298979164e-23
342.8,4.6795248132176776e-23,3.2466139307388064e-23,3.8981611221142917e-23,6.087444902103777e-23
343.0,4.5878751336961326e-23,3.186860300111712e-23,3.818198842686306e-23,5.509522917726835e-23
343.2,4.469269666080017e-23,3.127106669484617e-23,3.4783591551173676e-23,5.548051050018632e-23
343.4,4.372228828939558e-23,3.09722985417107e-23,3.558321434545354e-23,6.087444902103777e-23
343.6,4.3237084103693285e-23,3.077311977295372e-23,3.4783591551173676e-23,6.125973034395573e-23
343.8,4.366837671320644e-23,3.027517285106126e-23,3.3983968756893826e-23,5.933332372936592e-23
344.0,4.334490725607157e-23,2.927927900727635e-23,3.4383780154033754e-23,5.663635446894019e-23
344.2,4.22666757322887e-23,2.947845777603333e-23,3.338425166118393e-23,5.663635446894019e-23
344.4,4.070324002280353e-23,2.9578047160411823e-23,3.1785006072624226e-23,5.509522917726835e-23
344.6,4.048759371804695e-23,2.898051085414088e-23,3.2584628866904076e-23,5.47099478543504e-23
344.8,4.102670947993839e-23,2.927927900727635e-23,3.538330864688357e-23,6.04891676981198e-23
345.0,4.0325858989479524e-23,2.9578047160411823e-23,3.6582742838303355e-23,6.280085563562756e-23
345.2,3.989456637996637e-23,3.037476223543975e-23,3.6182931441163427e-23,6.241557431270961e-23
345.4,3.962500849902065e-23,2.9876815313547296e-23,3.558321434545354e-23,6.087444902103777e-23
345.6,3.924762746569665e-23,2.888092146976239e-23,3.35841573597539e-23,5.740691711477611e-23
345.8,3.892415800856179e-23,2.927927900727635e-23,3.1585100374054265e-23,5.702163579185816e-23
346.0,3.951718534664237e-23,2.927927900727635e-23,3.558321434545354e-23,6.04891676981198e-23
346.2,3.978674322758809e-23,2.927927900727635e-23,3.818198842686306e-23,5.971860505228388e-23
346.4,3.854677697523778e-23,2.947845777603333e-23,3.6382837139733394e-23,5.702163579185816e-23
346.6,3.865460012761607e-23,3.0075994082304283e-23,3.6382837139733394e-23,5.548051050018632e-23
346.8,3.913980431331836e-23,3.186860300111712e-23,3.6382837139733394e-23,5.740691711477611e-23
347.0,3.865460012761607e-23,3.236654992300957e-23,3.538330864688357e-23,5.971860505228388e-23
347.2,3.870851170380521e-23,3.117147731046768e-23,3.4583685852603715e-23,5.933332372936592e-23
347.4,3.924762746569665e-23,3.057394100419674e-23,3.518340294831361e-23,6.010388637520184e-23
347.6,3.9571096922831513e-23,3.027517285106126e-23,3.6582742838303355e-23,5.933332372936592e-23
347.8,3.951718534664237e-23,3.127106669484617e-23,3.758227133115317e-23,6.010388637520184e-23
348.0,3.962500849902065e-23,3.1669424232360137e-23,3.818198842686306e-23,5.894804240644796e-23
348.2,4.021803583710124e-23,3.1569834847981646e-23,3.6782648536873316e-23,5.779219843769408e-23
348.4,4.09188863275601e-23,3.226696053863108e-23,3.6182931441163427e-23,6.164501166687369e-23
348.6,4.108062105612754e-23,3.216737115425259e-23,3.6382837139733394e-23,6.203029298979164e-23
348.8,4.1943206275153835e-23,3.20677817698741e-23,3.9381422618282844e-23,5.702163579185816e-23
349.0,4.269796834180185e-23,3.226696053863108e-23,4.257991379540226e-23,5.47099478543504e-23
349.2,4.2967526222747565e-23,3.226696053863108e-23,4.3579442288252085e-23,5.355410388559651e-23
349.4,4.329099567988243e-23,3.306367561365901e-23,4.198019669969238e-23,5.47099478543504e-23
349.6,4.3506641984639004e-23,3.575258899187827e-23,3.9181516919712883e-23,6.010388637520184e-23
349.8,4.4369227203665306e-23,3.774437667944809e-23,3.8781705522572956e-23,6.203029298979164e-23
350.0,4.598657448933962e-23,3.7843966063826575e-23,4.198019669969238e-23,6.35714182814635e-23
350.2,4.6417867098852765e-23,3.8043144832583557e-23,4.3579442288252085e-23,6.665366886480717e-23
350.4,4.674133655598763e-23,3.864068113885451e-23,4.3779347986822046e-23,6.819479415647902e-23
350.6,4.733436389406821e-23,3.8142734216962054e-23,4.1780291001122406e-23,6.703895018772513e-23
350.8,4.776565650358136e-23,3.8441502370097526e-23,4.1780291001122406e-23,6.164501166687369e-23
351.0,4.8304772265472796e-23,3.97361643670179e-23,4.3979253685392007e-23,6.164501166687369e-23
351.2,4.943691536544482e-23,4.1130415748316785e-23,4.497878217824183e-23,6.703895018772513e-23
351.4,5.1269908955875706e-23,4.222589897648018e-23,4.8177273355361247e-23,6.74242315106431e-23
351.6,5.2617698360604304e-23,4.391891851091453e-23,4.8177273355361247e-23,6.74242315106431e-23
351.8,5.321072569868487e-23,4.4616044201563965e-23,4.5578499273951724e-23,6.511254357313532e-23
352.0,5.423504564627861e-23,4.421768666405e-23,4.757755625965136e-23,6.318613695854553e-23
352.2,5.574456977957464e-23,4.4715633585942456e-23,4.917680184821107e-23,6.280085563562756e-23
352.4,5.639150869384435e-23,4.630906373599831e-23,4.877699045107114e-23,6.472726225021737e-23
