Wavelength nm.;s1.2;s2.2;s3.2;s4.2;s5.2;s6.2;s7.2
372,2;0,0363;0,0144;0,0107;0,0079;0,0079;0,005;0,0048
372,4;0,0356;0,0148;0,0103;0,0082;0,0077;0,0051;0,0049
372,6;0,0353;0,0148;0,0104;0,0081;0,0076;0,0051;0,0049
372,8;0,0346;0,0142;0,0102;0,0081;0,0077;0,0051;0,0046
373;0,0343;0,0137;0,01;0,008;0,0078;0,0054;0,0046
373,2;0,0339;0,0139;0,01;0,0081;0,0076;0,0058;0,0048
373,4;0,0333;0,0141;0,0099;0,0083;0,0077;0,0059;0,005
373,6;0,0334;0,0143;0,0096;0,0083;0,0079;0,0057;0,005
373,8;0,0333;0,0142;0,0103;0,0082;0,0081;0,0058;0,0051
374;0,0326;0,0139;0,0102;0,0082;0,0076;0,0055;0,0045
374,2;0,032;0,0136;0,0097;0,0083;0,0078;0,0054;0,0047
374,4;0,0318;0,0133;0,0094;0,008;0,0076;0,005;0,0049
374,6;0,0315;0,0134;0,0101;0,0079;0,0079;0,0048;0,0052
374,8;0,0313;0,0137;0,0099;0,0078;0,0078;0,005;0,0048
375;0,0314;0,0138;0,0097;0,0077;0,0075;0,0052;0,0047
375,2;0,0309;0,013;0,0097;0,0074;0,0075;0,0047;0,0045
375,4;0,0305;0,0127;0,0096;0,0075;0,0076;0,0052;0,0046
375,6;0,0303;0,0128;0,0095;0,0073;0,0072;0,0052;0,0043
375,8;0,0305;0,0128;0,0099;0,0072;0,0076;0,0049;0,0045
376;0,0305;0,0131;0,0096;0,0076;0,0075;0,0051;0,0045
376,2;0,0306;0,0134;0,0093;0,0076;0,0071;0,0051;0,0045
376,4;0,0299;0,0128;0,0094;0,0073;0,0071;0,0049;0,0046
376,6;0,0292;0,0124;0,0092;0,007;0,007;0,0045;0,0044
376,8;0,0292;0,0122;0,009;0,0068;0,007;0,0042;0,0041
377;0,0295;0,0123;0,0095;0,0071;0,0073;0,0048;0,0042
377,2;0,0294;0,0125;0,0098;0,0072;0,0073;0,0049;0,0044
377,4;0,0293;0,0125;0,0095;0,0073;0,0073;0,005;0,0042
377,6;0,029;0,0127;0,0095;0,0072;0,0075;0,0051;0,0042
377,8;0,0289;0,0124;0,0094;0,0069;0,0078;0,0046;0,0042
378;0,0288;0,0122;0,0093;0,0067;0,0074;0,0042;0,0041
378,2;0,0285;0,0121;0,0092;0,0069;0,007;0,0046;0,0043
378,4;0,0286;0,012;0,0098;0,0068;0,0077;0,0045;0,0048
378,6;0,0284;0,0123;0,0094;0,0071;0,0076;0,0046;0,0043
378,8;0,0282;0,0127;0,0091;0,0075;0,0069;0,0048;0,0041
379;0,0283;0,0129;0,0093;0,0076;0,0073;0,0052;0,0044
379,2;0,0285;0,0127;0,0093;0,0074;0,0078;0,0052;0,0043
379,4;0,0286;0,012;0,0092;0,007;0,0074;0,0047;0,0047
379,6;0,0285;0,0123;0,0093;0,0068;0,0071;0,0048;0,0048
379,8;0,0278;0,0123;0,009;0,0068;0,0068;0,0051;0,0042
380;0,0276;0,0119;0,0093;0,007;0,0071;0,0049;0,004
380,2;0,0277;0,0119;0,0093;0,0069;0,0071;0,0044;0,0041
380,4;0,0278;0,0122;0,0093;0,007;0,0072;0,0048;0,0046
380,6;0,0279;0,0122;0,0093;0,0067;0,0074;0,0046;0,0046
380,8;0,0278;0,0124;0,0091;0,007;0,0073;0,0049;0,0045
381;0,0273;0,012;0,0089;0,007;0,0072;0,0046;0,0045
381,2;0,0272;0,0119;0,009;0,0065;0,0072;0,0039;0,0044
381,4;0,0271;0,0116;0,0092;0,0064;0,0067;0,0039;0,0043
381,6;0,027;0,0114;0,0087;0,0063;0,0065;0,0038;0,0042
381,8;0,0268;0,0114;0,0083;0,0061;0,0066;0,0039;0,0036
382;0,027;0,0115;0,0085;0,0062;0,0069;0,0044;0,0039
382,2;0,0268;0,0118;0,0089;0,0065;0,0069;0,0047;0,0041
382,4;0,027;0,0118;0,0088;0,0063;0,0071;0,0042;0,0043
382,6;0,0271;0,0118;0,0089;0,0064;0,0073;0,0042;0,0046
382,8;0,0266;0,0114;0,0086;0,006;0,0067;0,0041;0,0041
383;0,0268;0,0115;0,0088;0,0061;0,0068;0,0038;0,0039
383,2;0,0264;0,0117;0,0087;0,0064;0,0065;0,0041;0,0038
383,4;0,0268;0,0118;0,0087;0,0065;0,0065;0,0046;0,0039
383,6;0,0267;0,012;0,0088;0,0069;0,0067;0,0048;0,0042
383,8;0,0261;0,012;0,0087;0,0069;0,0066;0,0049;0,0041
384;0,026;0,0119;0,0085;0,0067;0,0064;0,0047;0,0039
384,2;0,0261;0,0117;0,0086;0,0067;0,0067;0,0046;0,0039
384,4;0,026;0,0117;0,0089;0,0067;0,0067;0,0044;0,0039
384,6;0,0258;0,0113;0,0087;0,0063;0,0064;0,0042;0,0037
384,8;0,0262;0,0113;0,0089;0,0064;0,0067;0,0042;0,0039
385;0,0264;0,0114;0,0086;0,0064;0,0068;0,0041;0,0039
385,2;0,0262;0,0116;0,0087;0,0066;0,0066;0,0046;0,0044
385,4;0,0262;0,0115;0,0089;0,0064;0,0069;0,0046;0,0047
385,6;0,0264;0,0113;0,0091;0,0063;0,007;0,0042;0,0045
385,8;0,0263;0,0113;0,0092;0,0063;0,0067;0,0042;0,0042
386;0,0262;0,0115;0,009;0,0062;0,007;0,0042;0,0043
386,2;0,0262;0,0118;0,0086;0,0065;0,0069;0,0042;0,0043
386,4;0,0257;0,0119;0,0085;0,0064;0,0066;0,0043;0,0041
386,6;0,0259;0,012;0,0089;0,0069;0,0067;0,0044;0,0042
386,8;0,0257;0,0119;0,0087;0,0071;0,0063;0,0041;0,004
387;0,0256;0,0118;0,0083;0,0068;0,0062;0,004;0,0039
387,2;0,0261;0,0116;0,0086;0,0066;0,0065;0,004;0,0042
387,4;0,026;0,0116;0,0086;0,0059;0,0065;0,0039;0,004
387,6;0,0261;0,0119;0,0087;0,0059;0,0068;0,0039;0,0041
387,8;0,0266;0,012;0,0093;0,0064;0,0073;0,004;0,0044
388;0,0267;0,0121;0,0096;0,0067;0,0072;0,0041;0,0045
388,2;0,0265;0,0122;0,0095;0,0066;0,0069;0,0043;0,0045
388,4;0,0264;0,0121;0,0091;0,0063;0,0065;0,0041;0,0043
388,6;0,027;0,0122;0,0094;0,0061;0,0068;0,0039;0,0044
388,8;0,0273;0,0125;0,0095;0,0062;0,0069;0,0041;0,0045
389;0,0268;0,0126;0,0094;0,0064;0,0069;0,0044;0,0042
389,2;0,0267;0,0124;0,0094;0,0065;0,0069;0,004;0,0038
389,4;0,0272;0,0127;0,0095;0,0066;0,007;0,004;0,0039
389,6;0,0274;0,0128;0,0096;0,0065;0,0071;0,0042;0,0041
389,8;0,0275;0,0128;0,0098;0,0063;0,0071;0,0039;0,0043
390;0,0272;0,0131;0,0094;0,0064;0,0069;0,0039;0,0041
390,2;0,0275;0,013;0,0091;0,0064;0,0067;0,0038;0,0036
390,4;0,028;0,0129;0,0094;0,006;0,007;0,0036;0,0038
390,6;0,0282;0,0131;0,0096;0,006;0,0071;0,0039;0,0042
390,8;0,0285;0,0134;0,01;0,0067;0,0073;0,0041;0,0039
391;0,0284;0,0139;0,0101;0,0071;0,0072;0,0045;0,0039
391,2;0,0285;0,0141;0,0101;0,0067;0,0071;0,0043;0,0041
391,4;0,0287;0,0138;0,0102;0,0067;0,0071;0,0042;0,0041
391,6;0,0286;0,0138;0,0101;0,0068;0,0069;0,0042;0,0041
391,8;0,0288;0,0146;0,0101;0,0068;0,0067;0,0044;0,0039
392;0,0295;0,0147;0,0106;0,0067;0,007;0,0044;0,0039
392,2;0,0299;0,0145;0,0107;0,0067;0,0073;0,0039;0,0042
392,4;0,0303;0,0149;0,011;0,0067;0,0073;0,0039;0,0042
392,6;0,0308;0,0157;0,0112;0,0074;0,0075;0,0044;0,004
392,8;0,0316;0,0161;0,0112;0,0075;0,0075;0,0045;0,0037
393;0,0326;0,0171;0,0117;0,0075;0,0076;0,0045;0,004
393,2;0,0336;0,0184;0,0127;0,0081;0,0077;0,0045;0,0041
393,4;0,0347;0,0196;0,0136;0,0089;0,0077;0,0046;0,004
393,6;0,0362;0,0209;0,0141;0,0091;0,0078;0,0049;0,0042
393,8;0,0377;0,0222;0,0148;0,0093;0,008;0,005;0,0043
394;0,0397;0,0236;0,016;0,0098;0,0086;0,005;0,0045
394,2;0,0415;0,0253;0,0168;0,0102;0,0089;0,0048;0,0047
394,4;0,0432;0,027;0,0176;0,0108;0,0092;0,0052;0,0048
394,6;0,0448;0,0278;0,0181;0,011;0,0091;0,0054;0,0046
394,8;0,0464;0,0285;0,0185;0,0113;0,0091;0,0054;0,0045
395;0,0481;0,0298;0,019;0,0119;0,0096;0,0054;0,0049
395,2;0,0491;0,0299;0,0191;0,0116;0,0094;0,005;0,0048
395,4;0,0501;0,0299;0,0191;0,0111;0,0093;0,0047;0,0047
395,6;0,0514;0,031;0,0196;0,0115;0,0095;0,0052;0,0048
395,8;0,0521;0,0313;0,0196;0,0116;0,0094;0,0049;0,0047
396;0,0526;0,0315;0,0193;0,0116;0,0092;0,0048;0,0046
396,2;0,054;0,0317;0,0197;0,0113;0,0095;0,0048;0,0049
396,4;0,0548;0,0318;0,0196;0,0112;0,0093;0,0049;0,0047
396,6;0,0554;0,032;0,02;0,0113;0,0096;0,005;0,0047
396,8;0,0565;0,0324;0,0203;0,0115;0,0096;0,005;0,0046
397;0,0575;0,0328;0,0201;0,0118;0,0097;0,0052;0,0044
397,2;0,0581;0,0332;0,0201;0,0119;0,0097;0,0053;0,0043
397,4;0,0585;0,034;0,0201;0,0119;0,0093;0,0054;0,0038
397,6;0,0594;0,0346;0,0203;0,0122;0,0095;0,0054;0,0041
397,8;0,0608;0,0349;0,0209;0,0123;0,0098;0,0054;0,0046
398;0,0616;0,0355;0,0214;0,0125;0,0097;0,0056;0,0047
398,2;0,0627;0,0363;0,0219;0,0129;0,0097;0,0058;0,0047
398,4;0,0644;0,0372;0,0226;0,0133;0,0104;0,0059;0,0049
398,6;0,0662;0,0387;0,0232;0,0138;0,0105;0,0061;0,0047
398,8;0,0687;0,0399;0,0238;0,0139;0,0106;0,006;0,0043
399;0,0715;0,0419;0,0248;0,0146;0,0112;0,0063;0,0046
399,2;0,0745;0,0441;0,026;0,0153;0,0115;0,0065;0,005
399,4;0,0778;0,0462;0,0274;0,0156;0,0117;0,0064;0,0051
399,6;0,0815;0,0489;0,0284;0,0163;0,012;0,0066;0,005
399,8;0,0857;0,0521;0,03;0,0174;0,0125;0,0072;0,0049
400;0,0895;0,0547;0,0317;0,0182;0,0128;0,0074;0,0052
400,2;0,0929;0,0564;0,0322;0,0186;0,0127;0,0071;0,0054
400,4;0,0954;0,0571;0,0325;0,0184;0,0124;0,0067;0,0054
400,6;0,097;0,0575;0,0326;0,0181;0,0124;0,0071;0,0054
400,8;0,0986;0,0574;0,0328;0,0179;0,0129;0,007;0,0056
401;0,1001;0,0569;0,0325;0,0178;0,013;0,0069;0,0055
401,2;0,1013;0,0568;0,0318;0,0178;0,0127;0,007;0,0054
401,4;0,1029;0,0568;0,0315;0,0177;0,0127;0,0068;0,0054
401,6;0,1042;0,0566;0,031;0,0172;0,0125;0,0063;0,0051
401,8;0,1055;0,0561;0,0301;0,0167;0,0122;0,0062;0,0049
402;0,1068;0,0552;0,0296;0,0164;0,012;0,0065;0,005
402,2;0,1071;0,0541;0,0288;0,0159;0,0114;0,0064;0,0049
402,4;0,1069;0,0528;0,0279;0,0152;0,0108;0,006;0,0047
402,6;0,1058;0,0511;0,0269;0,0143;0,0106;0,0058;0,0048
402,8;0,1043;0,0492;0,0255;0,0137;0,0103;0,0058;0,0048
403;0,1029;0,0474;0,0247;0,0132;0,01;0,0055;0,0047
403,2;0,1014;0,0462;0,0238;0,013;0,01;0,0055;0,0046
403,4;0,0998;0,0446;0,0229;0,0126;0,0099;0,0052;0,0045
403,6;0,0989;0,0436;0,0221;0,0125;0,0094;0,005;0,0043
403,8;0,0983;0,0423;0,0217;0,012;0,0093;0,0049;0,0046
404;0,0981;0,0413;0,0211;0,0113;0,0093;0,0048;0,0046
404,2;0,0982;0,0404;0,0204;0,0108;0,009;0,0046;0,0044
404,4;0,0982;0,0394;0,0195;0,0105;0,0086;0,0045;0,0039
404,6;0,0992;0,0386;0,0192;0,0102;0,0084;0,0043;0,004
404,8;0,1;0,0382;0,019;0,0099;0,0085;0,0042;0,0043
405;0,1006;0,0379;0,0187;0,0098;0,0085;0,0044;0,0044
405,2;0,1011;0,0376;0,0181;0,01;0,0082;0,0046;0,0043
405,4;0,1019;0,0369;0,0179;0,01;0,0082;0,0044;0,0042
405,6;0,1024;0,0365;0,0176;0,0096;0,0083;0,0043;0,004
405,8;0,1025;0,0359;0,0173;0,0093;0,0081;0,0039;0,004
406;0,1026;0,0359;0,0173;0,0092;0,0082;0,0042;0,0042
406,2;0,1026;0,0354;0,0169;0,0089;0,0082;0,0043;0,0043
406,4;0,1022;0,0345;0,0165;0,0083;0,008;0,004;0,0042
406,6;0,1012;0,0338;0,0163;0,0081;0,0079;0,0039;0,0041
406,8;0,0999;0,033;0,016;0,0083;0,0077;0,0038;0,004
407;0,0988;0,0322;0,0157;0,0082;0,0076;0,0038;0,004
407,2;0,0969;0,0316;0,0154;0,008;0,0074;0,0038;0,0039
407,4;0,0946;0,0306;0,0148;0,0077;0,0072;0,0036;0,0037
407,6;0,0928;0,0296;0,0142;0,0076;0,007;0,0036;0,0036
407,8;0,0906;0,0291;0,014;0,0077;0,0069;0,0039;0,0037
408;0,0881;0,0286;0,0135;0,0077;0,0066;0,0038;0,0036
408,2;0,0862;0,0277;0,0132;0,0077;0,0068;0,0037;0,0039
408,4;0,0844;0,0268;0,0135;0,0076;0,0073;0,0036;0,0043
408,6;0,0819;0,026;0,0131;0,0073;0,0071;0,0037;0,0039
408,8;0,0798;0,0251;0,0127;0,0068;0,0068;0,0036;0,0036
409;0,0778;0,024;0,0125;0,0064;0,0065;0,0034;0,0036
409,2;0,076;0,0236;0,0123;0,0065;0,0067;0,0032;0,0037
409,4;0,0744;0,0232;0,0119;0,0067;0,0066;0,0031;0,0037
409,6;0,0731;0,0227;0,0118;0,0067;0,0065;0,0033;0,0035
409,8;0,0718;0,0224;0,0118;0,0067;0,0066;0,0038;0,0034
410;0,0704;0,0219;0,0117;0,0067;0,0067;0,0038;0,0035
410,2;0,0686;0,0212;0,0114;0,0066;0,0066;0,0034;0,0034
410,4;0,067;0,0209;0,0113;0,0064;0,0064;0,0031;0,0033
410,6;0,0663;0,0207;0,0114;0,0065;0,0065;0,0033;0,0036
410,8;0,0654;0,0204;0,0117;0,0066;0,0068;0,0034;0,004
411;0,064;0,0202;0,0114;0,0066;0,0067;0,0034;0,0036
411,2;0,0623;0,0199;0,0113;0,0064;0,0064;0,0034;0,0033
411,4;0,061;0,0197;0,0114;0,0063;0,0063;0,0035;0,0033
411,6;0,06;0,0196;0,0113;0,0065;0,0066;0,0038;0,0035
411,8;0,0591;0,0196;0,0113;0,0066;0,0068;0,0037;0,0036
412;0,058;0,019;0,0114;0,0064;0,0066;0,0033;0,0035
412,2;0,0567;0,019;0,0115;0,0066;0,0064;0,0032;0,0035
412,4;0,0554;0,0192;0,0115;0,0067;0,0064;0,0035;0,0036
412,6;0,0546;0,0191;0,0115;0,0068;0,0065;0,0037;0,004
412,8;0,0537;0,019;0,0112;0,0068;0,0064;0,0036;0,0038
413;0,0528;0,0189;0,0112;0,0065;0,0065;0,0035;0,0036
413,2;0,0521;0,0188;0,0113;0,0065;0,0066;0,0035;0,0037
413,4;0,0516;0,0185;0,0115;0,0064;0,0069;0,0032;0,004
413,6;0,0509;0,0186;0,0114;0,0063;0,0069;0,0031;0,004
413,8;0,0501;0,0191;0,0113;0,0065;0,0066;0,0034;0,0037
414;0,0497;0,0191;0,0114;0,0066;0,0065;0,0035;0,0035
414,2;0,0493;0,019;0,0114;0,0069;0,0066;0,0034;0,0035
414,4;0,0489;0,0193;0,0112;0,0071;0,0065;0,0037;0,0035
414,6;0,0488;0,0194;0,0114;0,0068;0,0066;0,0035;0,0037
414,8;0,0486;0,0196;0,0117;0,0069;0,0068;0,0035;0,0039
415;0,0479;0,0198;0,0118;0,0069;0,0067;0,0036;0,0038
415,2;0,0476;0,0197;0,0117;0,0069;0,0065;0,0037;0,0035
415,4;0,0475;0,0194;0,0117;0,0067;0,0066;0,0036;0,0033
415,6;0,0477;0,0194;0,0119;0,0066;0,0068;0,0036;0,0034
415,8;0,0464;0,022;0,0103;0,009;0,0067;0,0044;0,0041
416;0,0466;0,0222;0,0106;0,0091;0,0068;0,0043;0,0044
416,2;0,048;0,0204;0,0125;0,0072;0,0069;0,0038;0,004
416,4;0,0477;0,0205;0,0123;0,0073;0,0068;0,0039;0,004
416,6;0,0476;0,0208;0,0126;0,0072;0,007;0,0038;0,0038
416,8;0,0479;0,0208;0,0129;0,0071;0,0071;0,0035;0,0037
417;0,048;0,0208;0,0128;0,0074;0,0073;0,0037;0,0037
417,2;0,0481;0,0211;0,0128;0,0075;0,0073;0,0036;0,0039
417,4;0,0485;0,0214;0,0132;0,0074;0,0075;0,0036;0,0041
417,6;0,0486;0,0212;0,0134;0,0072;0,0075;0,0035;0,0041
417,8;0,0485;0,0214;0,013;0,0073;0,0073;0,0037;0,0037
418;0,0488;0,0215;0,0129;0,0075;0,0072;0,0037;0,0036
418,2;0,049;0,0217;0,0132;0,0076;0,0069;0,0036;0,0039
418,4;0,0489;0,0218;0,0133;0,0072;0,0069;0,0034;0,0037
418,6;0,0491;0,0218;0,0134;0,0072;0,0071;0,0035;0,0038
418,8;0,0495;0,0223;0,0133;0,0077;0,0071;0,004;0,0039
419;0,0498;0,0225;0,0135;0,0077;0,0072;0,0038;0,0037
419,2;0,0502;0,0228;0,0137;0,0079;0,0073;0,0037;0,0036
419,4;0,0505;0,023;0,0139;0,0078;0,0076;0,0038;0,0039
419,6;0,0507;0,023;0,0136;0,0077;0,0073;0,0037;0,0038
419,8;0,051;0,0231;0,0136;0,0078;0,0072;0,0036;0,0036
420;0,051;0,0233;0,0137;0,0077;0,0072;0,0035;0,0034
420,2;0,0511;0,0236;0,0137;0,008;0,0073;0,0039;0,0034
420,4;0,0514;0,0238;0,0137;0,0082;0,0072;0,0038;0,0036
420,6;0,0515;0,0238;0,014;0,0081;0,0072;0,0036;0,0037
420,8;0,0519;0,024;0,0143;0,0078;0,0073;0,0037;0,0038
421;0,0523;0,0243;0,0143;0,0079;0,0074;0,0039;0,0039
421,2;0,0523;0,0242;0,0141;0,0081;0,0074;0,0038;0,0037
421,4;0,0529;0,0243;0,0144;0,008;0,0076;0,0038;0,0038
421,6;0,0537;0,0247;0,0151;0,008;0,0079;0,0038;0,004
421,8;0,054;0,0252;0,0151;0,0083;0,0078;0,0041;0,004
422;0,0543;0,0251;0,0147;0,0082;0,0078;0,004;0,004
422,2;0,0542;0,0248;0,0146;0,008;0,0075;0,0037;0,0038
422,4;0,0545;0,025;0,0151;0,0081;0,0075;0,0036;0,0041
422,6;0,0549;0,0251;0,0151;0,0081;0,0076;0,0036;0,004
422,8;0,0549;0,0255;0,0151;0,0083;0,0077;0,004;0,0039
423;0,0553;0,0257;0,0152;0,0083;0,0076;0,0038;0,0039
423,2;0,0556;0,0259;0,0153;0,0083;0,0074;0,0036;0,004
423,4;0,0558;0,0261;0,0153;0,0084;0,0073;0,0039;0,0039
423,6;0,0561;0,0263;0,015;0,0085;0,0076;0,004;0,0037
423,8;0,0565;0,0263;0,0149;0,0084;0,0078;0,0037;0,0037
424;0,057;0,0264;0,0151;0,0084;0,0077;0,0037;0,0039
424,2;0,0574;0,0266;0,0154;0,0085;0,0078;0,0039;0,004
424,4;0,0574;0,0268;0,0156;0,0085;0,008;0,0038;0,0039
424,6;0,0578;0,0269;0,0156;0,0085;0,0082;0,0036;0,004
424,8;0,0583;0,0274;0,0158;0,0086;0,0082;0,0039;0,0041
425;0,0582;0,0273;0,0158;0,0087;0,0076;0,0038;0,0038
425,2;0,0581;0,0272;0,0155;0,0087;0,0074;0,0039;0,0035
425,4;0,0584;0,0273;0,0157;0,0086;0,0078;0,0039;0,0037
425,6;0,0587;0,0276;0,0159;0,0086;0,0079;0,0038;0,0037
425,8;0,0591;0,0278;0,0159;0,0085;0,0079;0,0037;0,0037
426;0,0593;0,0278;0,0159;0,0085;0,0077;0,0039;0,0038
426,2;0,0591;0,028;0,0159;0,0087;0,0078;0,0038;0,0038
426,4;0,0593;0,0281;0,016;0,0086;0,0077;0,0036;0,0039
426,6;0,0599;0,0282;0,0161;0,0088;0,0079;0,0036;0,004
426,8;0,0602;0,0283;0,0162;0,0087;0,008;0,0038;0,004
427;0,0604;0,0285;0,0164;0,0087;0,0081;0,0039;0,004
427,2;0,0604;0,0284;0,0164;0,0087;0,0079;0,0039;0,0037
427,4;0,0609;0,0285;0,0164;0,0086;0,0079;0,0038;0,0039
427,6;0,0611;0,0287;0,0165;0,0086;0,0081;0,0037;0,0042
427,8;0,0613;0,0288;0,0166;0,0089;0,0083;0,0039;0,0041
428;0,0615;0,0286;0,0168;0,0087;0,0082;0,0037;0,0038
428,2;0,0612;0,0288;0,0166;0,0089;0,0081;0,0039;0,0037
428,4;0,0613;0,029;0,0162;0,0091;0,0079;0,004;0,0037
428,6;0,0616;0,0289;0,0164;0,0088;0,008;0,0038;0,0037
428,8;0,0618;0,029;0,0165;0,0088;0,0079;0,0038;0,0038
429;0,0621;0,0293;0,0169;0,0091;0,0082;0,0039;0,004
429,2;0,062;0,0295;0,0166;0,0093;0,008;0,0043;0,0039
429,4;0,0621;0,0295;0,0163;0,0093;0,0078;0,0043;0,0039
429,6;0,0622;0,0292;0,0164;0,0091;0,0081;0,004;0,0039
429,8;0,0622;0,029;0,0166;0,0088;0,0083;0,0038;0,0037
430;0,0623;0,0293;0,0167;0,0087;0,008;0,0038;0,0036
430,2;0,0624;0,0296;0,0168;0,0088;0,0079;0,0039;0,0038
430,4;0,0626;0,0298;0,0168;0,0091;0,0079;0,0039;0,0038
430,6;0,0629;0,0298;0,017;0,0094;0,0082;0,004;0,0039
430,8;0,0629;0,0295;0,0168;0,0093;0,0083;0,004;0,0036
431;0,0627;0,0294;0,0167;0,0091;0,008;0,004;0,0037
431,2;0,0628;0,0295;0,0169;0,009;0,0081;0,0037;0,0039
431,4;0,0629;0,0296;0,0169;0,0091;0,0082;0,004;0,0039
431,6;0,0629;0,0296;0,0169;0,009;0,008;0,0042;0,0038
431,8;0,0631;0,0296;0,0171;0,0089;0,0078;0,004;0,0037
432;0,0631;0,0298;0,0171;0,009;0,008;0,0041;0,0038
432,2;0,0631;0,0296;0,017;0,0089;0,0083;0,0039;0,0038
432,4;0,0631;0,0295;0,0169;0,0089;0,0081;0,0036;0,0038
432,6;0,0632;0,0295;0,017;0,0089;0,0083;0,0036;0,004
432,8;0,063;0,0298;0,017;0,0091;0,0084;0,0038;0,0039
433;0,063;0,0297;0,0169;0,009;0,008;0,0036;0,0036
433,2;0,063;0,0296;0,0169;0,0091;0,0079;0,0037;0,0036
433,4;0,0629;0,0298;0,0168;0,0094;0,0078;0,0041;0,0038
433,6;0,0628;0,0296;0,0168;0,009;0,008;0,0039;0,0038
433,8;0,0629;0,0296;0,0169;0,009;0,008;0,0038;0,0038
434;0,0628;0,0298;0,0169;0,0092;0,008;0,0041;0,0038
434,2;0,0629;0,0296;0,017;0,0091;0,0081;0,0039;0,0037
434,4;0,0628;0,0293;0,017;0,0089;0,0081;0,0038;0,0037
434,6;0,0624;0,0296;0,0171;0,0093;0,0081;0,0038;0,0037
434,8;0,0621;0,0298;0,0168;0,0093;0,0079;0,0041;0,0035
435;0,0622;0,0295;0,0167;0,009;0,008;0,0039;0,0033
435,2;0,0623;0,0294;0,0167;0,0089;0,0081;0,004;0,0036
435,4;0,0622;0,0293;0,0166;0,0087;0,008;0,0037;0,0037
435,6;0,0621;0,0291;0,0167;0,0086;0,008;0,0037;0,0036
435,8;0,062;0,0293;0,0169;0,0087;0,008;0,004;0,0038
436;0,0619;0,0293;0,0168;0,0088;0,008;0,004;0,004
436,2;0,0619;0,0293;0,0167;0,009;0,0082;0,0041;0,0039
436,4;0,062;0,0296;0,0166;0,0091;0,0081;0,0041;0,0039
436,6;0,0615;0,0295;0,0164;0,009;0,0078;0,0041;0,0037
436,8;0,0614;0,029;0,0165;0,0089;0,008;0,0039;0,0037
437;0,0613;0,0289;0,0165;0,0088;0,0081;0,0037;0,004
437,2;0,061;0,0292;0,0164;0,009;0,0079;0,004;0,0039
437,4;0,0608;0,0292;0,0162;0,0086;0,0077;0,0041;0,0036
437,6;0,0608;0,0288;0,0164;0,0083;0,0076;0,0038;0,0036
437,8;0,0605;0,0285;0,0163;0,0084;0,0077;0,0037;0,0036
438;0,0604;0,0285;0,0164;0,0086;0,0077;0,0038;0,0039
438,2;0,0605;0,0286;0,0167;0,0087;0,0079;0,0038;0,0042
438,4;0,0603;0,0285;0,0165;0,0088;0,0082;0,0038;0,0039
438,6;0,06;0,0283;0,0163;0,0087;0,008;0,0036;0,0036
438,8;0,06;0,0284;0,0164;0,0086;0,0077;0,0035;0,0037
439;0,0598;0,0284;0,0161;0,0085;0,0078;0,0034;0,0035
439,2;0,0595;0,0283;0,0161;0,0086;0,0078;0,0033;0,0036
439,4;0,0595;0,0283;0,0164;0,0085;0,0078;0,0035;0,0038
439,6;0,0591;0,0281;0,0161;0,0087;0,0075;0,0039;0,0035
439,8;0,0585;0,028;0,0159;0,0089;0,0075;0,0041;0,0034
440;0,0582;0,028;0,0159;0,0089;0,0078;0,004;0,0035
440,2;0,0584;0,028;0,0158;0,0087;0,0077;0,0039;0,0034
440,4;0,0585;0,0276;0,016;0,0085;0,0076;0,0037;0,0035
440,6;0,0583;0,0274;0,016;0,0085;0,0076;0,0036;0,0038
440,8;0,0579;0,0275;0,0157;0,0087;0,0075;0,0039;0,0038
441;0,0575;0,0276;0,0156;0,0087;0,0075;0,004;0,0035
441,2;0,0576;0,0275;0,016;0,0085;0,0079;0,0038;0,0037
441,4;0,0573;0,0272;0,0159;0,0085;0,0077;0,0038;0,0037
441,6;0,0568;0,0269;0,0156;0,0083;0,0073;0,0038;0,0035
441,8;0,0568;0,0269;0,0157;0,0083;0,0075;0,0036;0,0036
442;0,0565;0,0268;0,0158;0,0081;0,0075;0,0034;0,0036
442,2;0,056;0,0265;0,0156;0,008;0,0075;0,0035;0,0037
442,4;0,0556;0,0264;0,0153;0,0081;0,0074;0,0034;0,0037
442,6;0,0555;0,0265;0,0153;0,0082;0,0073;0,0034;0,0035
442,8;0,0554;0,0264;0,0153;0,0082;0,0075;0,0036;0,0035
443;0,0551;0,0265;0,0152;0,0082;0,0075;0,0036;0,0035
443,2;0,0548;0,0263;0,015;0,0084;0,0073;0,0038;0,0034
443,4;0,0546;0,0258;0,0149;0,0081;0,0072;0,0036;0,0033
443,6;0,0542;0,0258;0,015;0,0079;0,0074;0,0034;0,0034
443,8;0,0536;0,0257;0,0148;0,008;0,0073;0,0035;0,0036
444;0,0533;0,0257;0,0147;0,008;0,0072;0,0037;0,0036
444,2;0,0533;0,0255;0,0148;0,008;0,0071;0,0038;0,0035
444,4;0,0532;0,025;0,0148;0,0077;0,0072;0,0034;0,0035
444,6;0,053;0,0251;0,0147;0,0075;0,0075;0,0034;0,0036
444,8;0,0525;0,025;0,0145;0,0075;0,0074;0,0035;0,0034
445;0,0521;0,0248;0,0144;0,0076;0,0072;0,0035;0,0035
445,2;0,0519;0,0248;0,0141;0,0077;0,0072;0,0035;0,0035
445,4;0,0518;0,0245;0,0143;0,0076;0,0074;0,0035;0,0037
445,6;0,0512;0,0243;0,0143;0,0077;0,0072;0,0036;0,0035
