wavelength;s2.3-s1.3;s4.3-s3.3
854,7;-9,00E-04;0,0017
854,6;-0,0009;0,0014
854,5;-9,00E-04;0,0014
854,4;-0,0008;0,001
854,3;-9,00E-04;0,0009
854,2;-0,0006;0,0012
854,1;-5,00E-04;0,0009
854;-0,0006;0,0009
853,9;-8,00E-04;0,0014
853,8;-0,0013;0,0012
853,7;-1,10E-03;0,0014
853,6;-0,0011;0,0013
853,5;-7,00E-04;0,0012
853,4;-0,0008;0,0012
853,3;-6,00E-04;0,0012
853,2;-0,0005;0,0016
853,1;-6,00E-04;0,0015
853;-0,0004;0,0016
852,9;-3,00E-04;0,0015
852,8;-0,0007;0,0012
852,7;-4,00E-04;0,0009
852,6;-0,001;0,0007
852,5;-1,10E-03;0,0007
852,4;-0,0012;0,0008
852,3;-1,00E-03;0,0011
852,2;-0,0008;0,0009
852,1;-1,00E-03;0,0006
852;-0,0009;0,0006
851,9;-8,00E-04;0,0006
851,8;-0,0007;0,0007
851,7;-5,00E-04;0,0011
851,6;-0,0003;0,0013
851,5;-5,00E-04;0,001
851,4;-0,0003;0,0012
851,3;-2,00E-04;0,0014
851,2;-0,0007;0,0012
851,1;-9,00E-04;0,0017
851;-0,0014;0,001
850,9;-1,70E-03;0,0006
850,8;-0,0014;0,0005
850,7;-1,30E-03;0,0008
850,6;-0,0009;0,001
850,5;-9,00E-04;0,0011
850,4;-0,0007;0,0015
850,3;-8,00E-04;0,0013
850,2;-0,0013;0,001
850,1;-1,20E-03;0,0009
850;-0,0013;0,0007
849,9;-1,10E-03;0,0008
849,8;-0,0007;0,0013
849,7;-6,00E-04;0,0014
849,6;-0,0008;0,0013
849,5;-8,00E-04;0,0011
849,4;-0,001;0,0011
849,3;-1,10E-03;0,001
849,2;-0,0009;0,0011
849,1;-1,10E-03;0,0013
849;-0,0014;0,0009
848,9;-1,30E-03;0,001
848,8;-0,0013;0,001
848,7;-9,00E-04;0,0008
848,6;-0,0007;0,0011
848,5;-6,00E-04;0,0012
848,4;-0,0009;0,001
848,3;-1,00E-03;0,0008
848,2;-0,001;0,0007
848,1;-1,30E-03;0,0008
848;-0,001;0,0009
847,9;-1,20E-03;0,0009
847,8;-0,0009;0,0008
847,7;-5,00E-04;0,0008
847,6;-0,0005;0,0009
847,5;-8,00E-04;0,001
847,4;-0,0009;0,0013
847,3;-1,30E-03;0,0014
847,2;-0,0011;0,0016
847,1;-9,00E-04;0,0019
847;-0,0006;0,0019
846,9;-4,00E-04;0,0016
846,8;-0,0006;0,0013
846,7;-1,00E-03;0,0009
846,6;-0,001;0,0007
846,5;-9,00E-04;0,0006
846,4;-0,0011;0,0005
846,3;-7,00E-04;0,0007
846,2;-0,0012;0,0006
846,1;-7,00E-04;0,0005
846;-0,0006;0,0009
845,9;-4,00E-04;0,0009
845,8;-0,0002;0,0014
845,7;-6,00E-04;0,0012
