wavelength,s1.4,s2.4,s3.4,s4.4,s5.4,s6.4,s7.4
202.1,2.5788849290278795,2.5494496917943787,2.5616490866934347,2.535907244245886,2.5740723237007295,2.5139707176384096,2.5391529548153593
202.2,2.591532008143415,2.554262297121529,2.573288876321891,2.538145665328281,2.5803399027314367,2.512851507097212,2.5374741390035624
202.3,2.612573166317932,2.564335191992309,2.5966803766329245,2.5470993496578633,2.564894797262908,2.5221409545891533,2.5556053497709663
202.4,2.6115658768308547,2.5552695866086075,2.6007095345812363,2.546539744387265,2.574631928971328,2.5286323757281006,2.5688120341571
202.5,2.620967245376916,2.5506808233896963,2.6040671662048296,2.5469874286037437,2.57373656053837,2.534788033704688,2.565902086749986
202.6,2.619176508510999,2.5587391392863204,2.597463824011763,2.554150376067409,2.5720577447265733,2.5490020075778994,2.568364349940621
202.7,2.6166023242662444,2.565902086749986,2.5950015608211277,2.557843770853362,2.5860478764915453,2.5338926652717295,2.583026008030312
202.8,2.6304805349770963,2.589741271277498,2.583026008030312,2.5571722445286436,2.594777718712888,2.5440774811966294,2.5787730079737603
202.9,2.634397771871289,2.5917558502516544,2.5999260872023977,2.555941112933326,2.6070890346660636,2.539376796923599,2.591084323926936
203.0,2.652528982638693,2.5944419555505287,2.6055221399083863,2.5501212181190978,2.6267871401911442,2.5353476389752867,2.6067532715037043
203.1,2.654879324775208,2.605857903070746,2.6136923768591305,2.5591868235027992,2.635964666628966,2.5481066391449416,2.5963446134705648
203.2,2.6517455352598542,2.5939942713340494,2.6317116665724143,2.574184244754849,2.634285850817169,2.5470993496578633,2.609775139964938
203.3,2.657901193236442,2.6078724820449017,2.626899061245264,2.580899508002036,2.6368600350619236,2.5620967709099136,2.6199599558898377
203.4,2.6500667194480574,2.612461245263813,2.6319355086806535,2.5842571396256293,2.634285850817169,2.5636636656675904,2.619848034835718
203.5,2.6547674037210878,2.6007095345812363,2.6280182717864617,2.585824034383306,2.6398819035231575,2.578213402703161,2.630256692868857
203.6,2.6604753774811964,2.6025002714471523,2.627682508624102,2.5890697449527793,2.6395461403607987,2.5927631397387323,2.6239891138381495
203.7,2.6536481931798903,2.599814166148278,2.631263982355935,2.5926512186846122,2.641113035118475,2.591196244981055,2.6221983769722335
203.8,2.6604753774811964,2.6021645082847935,2.645366035175027,2.6042910083130693,2.6369719561160436,2.5980234292823616,2.6205195611604366
203.9,2.6650641407001077,2.612908929480292,2.6577892721823217,2.6048506135836678,2.6431276140926316,2.5936585081716905,2.6219745348639933
204.0,2.672227088163773,2.6345096929254086,2.6605872985353165,2.609775139964938,2.649171351015099,2.5945538766046488,2.640889193010236
204.1,2.6855456936040265,2.64368721936323,2.6595800090482387,2.615930797941526,2.6568939037493635,2.609887061019058,2.65387203528813
204.2,2.6846503251710683,2.659356166939999,2.6565581405870047,2.6117897189390944,2.664728377537748,2.6167142453203645,2.654431640558729
204.3,2.69360400950065,2.6736820618673303,2.6613707459141547,2.6298090086523778,2.6643926143753887,2.6356289034666065,2.6498428773398177
204.4,2.6997596674772377,2.67401782502969,2.669093298648419,2.6333904823842107,2.6720032460555334,2.6283540349488206,2.647828298365662
204.5,2.691365588418255,2.680845009330996,2.6831953514675115,2.643351456200871,2.6694290618107788,2.6180572979698016,2.654879324775208
204.6,2.7030053780467114,2.6734582197590906,2.697633167448962,2.6577892721823217,2.6732343776508514,2.6189526664027594,2.6714436407849345
204.7,2.704348430696149,2.6821880619804332,2.70378882542555,2.657453509019963,2.6718913250014142,2.6202957190521974,2.681292693547475
204.8,2.7156524571622462,2.681068851439236,2.7193458519481988,2.6584607985070408,2.6759204829497256,2.644134903579709,2.6861052988746255
204.9,2.732776378442572,2.682971509359272,2.7284114573319007,2.6655118249165866,2.6736820618673303,2.6580131142905614,2.6768158513826843
205.0,2.7431850364757113,2.702669614884352,2.72393461516711,2.6748012724085277,2.6706601934060963,2.6671906407283834,2.6780469829780014
