,wavelength,s1.3,s2.3,s3.3,s4.3,s5.3,s6.3
21,202.1,1.4332731178778255,1.0273195520168537,2.526505875699825,1.8383391382095065,141.51629032258066,107.10423529411764
22,202.2,1.4338893144031384,1.049944494702274,2.536466849516485,1.882747877249654,144.70838709677423,102.64155882352942
23,202.3,1.4388188866056415,1.073489150504988,2.5404960074647964,1.9064934240886018,142.7931290322581,95.8505294117647
24,202.4,1.439558322436017,1.0895534729537146,2.5505689023355766,1.932293874019382,140.23945161290325,95.8505294117647
25,202.5,1.4410371940967681,1.0971564347233411,2.5554934287168467,1.9690538071065993,143.85716129032258,88.47741176470588
26,202.6,1.4536076032131513,1.1114426451453001,2.5586272182322003,1.9964525149976928,148.75170967741937,89.0595
27,202.7,1.4535459835606201,1.128058795464403,2.569371639427699,2.03070089986156,148.75170967741937,93.32814705882352
28,202.8,1.4542237997384642,1.1401376944048578,2.5638875077758296,2.057757123904015,146.83645161290326,90.99979411764706
29,202.9,1.4546551373061833,1.1523392217609518,2.569371639427699,2.071342316566682,150.02854838709678,89.83561764705883
30,203.0,1.4502801419764617,1.169445885742611,2.569707402590058,2.093032960313798,147.68767741935486,92.5520294117647
31,203.1,1.4479385951802728,1.1869204349711877,2.5620967709099136,2.102280024227042,142.36751612903228,88.28338235294117
32,203.2,1.4509579581543057,1.2088096071627734,2.580004139569078,2.1375558606368252,138.7498064516129,91.58188235294118
33,203.3,1.4498488044087425,1.228552782080674,2.572953113159532,2.1634704718504847,131.94000000000003,95.8505294117647
34,203.4,1.4563188679245282,1.2385469979552637,2.5766465079454846,2.1900700507614217,126.83264516129033,98.7609705882353
35,203.5,1.4638364655333456,1.237811227461429,2.5856001922750664,2.233565499538533,128.10948387096775,102.64155882352942
36,203.6,1.4688892770409114,1.2465791591796271,2.5883982186280607,2.2486347888786344,131.0887741935484,103.22364705882352
37,203.7,1.4704297683541938,1.2570025745089535,2.596120771362325,2.2724944970004617,134.91929032258065,103.02961764705883
38,203.8,1.468766037735849,1.2709208996839954,2.600933376689476,2.3022905918320262,138.7498064516129,102.64155882352942
39,203.9,1.472586456192789,1.2853910527294132,2.599254560877679,2.3240953968620217,137.04735483870968,98.56694117647058
40,204.0,1.477700887352886,1.3059313123489684,2.5952254029293673,2.3411054280110752,134.49367741935487,102.25349999999999
41,204.1,1.4804121520642628,1.3183780965363405,2.6055221399083863,2.364394329718505,130.0247419354839,100.50723529411765
42,204.2,1.4847871473939847,1.3313153943862692,2.6298090086523778,2.3731847485002313,127.89667741935486,102.25349999999999
43,204.3,1.4874984121053614,1.3438848069892808,2.652193219476333,2.3847150380710667,127.47106451612905,105.16394117647059
44,204.4,1.4887924248085185,1.3436395501580023,2.6605872985353165,2.4093738751730505,128.53509677419356,103.22364705882352
45,204.5,1.4979121333831493,1.341432238676498,2.669540982864899,2.4161093908629443,130.23754838709678,105.35797058823529
46,204.6,1.5064156454324678,1.3479315447053721,2.660363456427077,2.439854937701892,126.61983870967742,107.49229411764705
47,204.7,1.5066005043900614,1.3547987359811637,2.660923061697676,2.462116387863406,126.83264516129033,103.99976470588236
48,204.8,1.5038276200261536,1.3650382086870316,2.659244245885879,2.4689660648361795,126.61983870967742,101.28335294117647
49,204.9,1.5029649448907152,1.377301050250945,2.670324430243737,2.4868893862482695,127.04545161290325,98.7609705882353
50,205.0,1.4997607229590881,1.3849653262283907,2.680397325114517,2.485062805722197,127.89667741935486,94.29829411764705
51,205.1,1.5065388847375303,1.3929974874527542,2.6887914041735,2.487802676511306,128.53509677419356,98.17888235294117
52,205.2,1.5141797216514103,1.3961245120515522,2.6964020358536445,2.5081233848638673,127.89667741935486,98.37291176470589
53,205.3,1.5196638707266954,1.4031756459508025,2.682299983034553,2.531298125288417,124.06616129032258,98.17888235294117
54,205.4,1.5209578834298525,1.4093070667327594,2.677375456653283,2.5507055433779424,126.83264516129033,97.98485294117647
55,205.5,1.5171374649729121,1.4140895749426854,2.6861052988746255,2.5722820258421786,123.64054838709679,94.49232352941176
56,205.6,1.5189244348963196,1.4234706487390794,2.6969616411242434,2.5902053472542685,124.49177419354841,94.49232352941176
57,205.7,1.51559697365963,1.4292954984819384,2.7098325623480175,2.601507314259345,124.7045806451613,94.49232352941176
58,205.8,1.5196638707266954,1.4317480667947209,2.710839851835096,2.6178323777111214,119.17161290322582,92.94008823529411
59,205.9,1.5241621053614793,1.4348137771856992,2.7055795622914665,2.6225129903091835,120.23564516129034,96.04455882352941
60,206.0,1.525332878759574,1.438124744407956,2.7074822202115025,2.626851119058607,118.3203870967742,97.98485294117647
61,206.1,1.5358698393424248,1.4416809684614909,2.714085562404569,2.6315317316566684,118.3203870967742,98.56694117647058
62,206.2,1.5429560993835232,1.4495905012702148,2.7209127467058756,2.6326733444854638,120.23564516129034,98.7609705882353
63,206.3,1.5456057444423688,1.456825577792924,2.7182266414070013,2.6438611502076608,117.8947741935484,96.23858823529412
64,206.4,1.5451127872221182,1.4713570450461615,2.722143878301193,2.666122600369174,116.83074193548387,94.68635294117648
