wavelength;s1.4;s2.4;s3.4;s4.4;s5.4;s6.4;s7.4
218,4;2,8235;2,7833;2,771;2,7349;2,7538;2,7251;2,7518
218,5;2,8284;2,7707;2,7722;2,7351;2,7571;2,7181;2,7573
218,6;2,831;2,7679;2,7733;2,7379;2,771;2,7208;2,7657
218,7;2,83;2,7735;2,78;2,7388;2,7778;2,726;2,765
218,8;2,8301;2,7711;2,7779;2,7344;2,7801;2,725;2,7557
218,9;2,8315;2,7819;2,7682;2,7379;2,7791;2,7327;2,7472
219;2,8235;2,7867;2,7689;2,7412;2,7765;2,7338;2,7353
219,1;2,8195;2,7817;2,7791;2,7442;2,7751;2,7314;2,7381
219,2;2,817;2,7794;2,78;2,7499;2,7794;2,7305;2,7462
219,3;2,8182;2,7776;2,7957;2,7641;2,7817;2,7436;2,7505
219,4;2,8221;2,7786;2,7969;2,7706;2,7829;2,7455;2,7599
219,5;2,8345;2,7826;2,7896;2,7657;2,7827;2,7504;2,7661
219,6;2,8459;2,7925;2,7898;2,768;2,7762;2,761;2,7589
219,7;2,8488;2,7934;2,7913;2,7543;2,7742;2,743;2,7499
219,8;2,8514;2,7986;2,7903;2,7511;2,7667;2,739;2,7511
219,9;2,8418;2,8131;2,792;2,7569;2,7618;2,7373;2,7505
220;2,8317;2,8074;2,7988;2,7586;2,7743;2,7345;2,761
220,1;2,8213;2,8089;2,8047;2,7577;2,7855;2,7336;2,7678
220,2;2,8178;2,8052;2,8131;2,7578;2,7934;2,739;2,767
220,3;2,8216;2,7905;2,8086;2,7664;2,8046;2,7362;2,767
220,4;2,8358;2,7951;2,8077;2,7684;2,8086;2,7369;2,7707
220,5;2,847;2,8007;2,8013;2,7801;2,797;2,7417;2,7739
220,6;2,8482;2,8029;2,8024;2,7834;2,7969;2,7448;2,7716
220,7;2,8453;2,8032;2,8067;2,7767;2,7931;2,7494;2,7681
220,8;2,8387;2,7998;2,809;2,7601;2,788;2,7475;2,7635
220,9;2,8377;2,7894;2,8023;2,7618;2,7964;2,7557;2,7525
221;2,8369;2,7911;2,7933;2,7545;2,8026;2,7465;2,7561
221,1;2,8376;2,7945;2,8;2,7521;2,808;2,7497;2,7558
221,2;2,8377;2,8035;2,7919;2,7618;2,8022;2,7486;2,7537
221,3;2,8311;2,8092;2,7906;2,7536;2,7952;2,7397;2,7606
221,4;2,8328;2,8057;2,8016;2,7616;2,7944;2,7452;2,7599
221,5;2,8393;2,8074;2,8028;2,7655;2,7863;2,7457;2,7674
221,6;2,8456;2,8057;2,8144;2,7639;2,7828;2,7518;2,7599
221,7;2,8575;2,812;2,8113;2,7756;2,7819;2,7561;2,7633
221,8;2,8647;2,8125;2,7978;2,7796;2,7823;2,7481;2,7626
221,9;2,8617;2,8096;2,7902;2,7792;2,7831;2,7422;2,7557
222;2,8583;2,8089;2,7825;2,7765;2,7882;2,7416;2,7584
222,1;2,8626;2,8077;2,7966;2,7728;2,785;2,7416;2,7542
222,2;2,86;2,8103;2,8107;2,7682;2,7816;2,7546;2,7491
222,3;2,8548;2,8085;2,8007;2,7747;2,7782;2,7585;2,7469
222,4;2,8506;2,7999;2,7957;2,7805;2,7722;2,7533;2,7435
222,5;2,8451;2,8027;2,7898;2,7831;2,7812;2,7502;2,7365
222,6;2,8505;2,7981;2,7836;2,7895;2,7722;2,7408;2,7314
222,7;2,864;2,809;2,7998;2,7821;2,7769;2,725;2,7317
222,8;2,872;2,8191;2,8116;2,7821;2,7793;2,7188;2,7252
222,9;2,8711;2,8125;2,8144;2,765;2,7869;2,7104;2,7237
223;2,8718;2,8185;2,8151;2,7566;2,7897;2,6984;2,7124
223,1;2,8681;2,8114;2,8084;2,7617;2,7901;2,698;2,6976
223,2;2,8682;2,809;2,8073;2,7541;2,7891;2,686;2,6847
223,3;2,8613;2,8145;2,8045;2,7691;2,7759;2,672;2,671
223,4;2,8464;2,8105;2,8006;2,7699;2,7734;2,6672;2,6538
223,5;2,8459;2,8156;2,7968;2,76;2,7592;2,6477;2,6296
223,6;2,8461;2,8169;2,7811;2,7568;2,753;2,6361;2,6124
223,7;2,8551;2,8147;2,7786;2,7447;2,7474;2,6237;2,5869
223,8;2,8625;2,8151;2,7738;2,7343;2,7471;2,6063;2,5673
223,9;2,8627;2,8172;2,7718;2,7286;2,7444;2,5896;2,5496
224;2,8594;2,8117;2,78;2,7212;2,7321;2,5611;2,5209
224,1;2,8598;2,8086;2,7737;2,7058;2,7145;2,5336;2,4931
224,2;2,8699;2,8015;2,771;2,7029;2,6923;2,5034;2,4601
224,3;2,8803;2,7943;2,7672;2,6909;2,6737;2,4749;2,4247
224,4;2,8857;2,7975;2,7606;2,6822;2,6568;2,4482;2,3886
224,5;2,8832;2,7909;2,7476;2,6758;2,641;2,4153;2,347
224,6;2,8748;2,7911;2,7365;2,653;2,6146;2,3791;2,3083
224,7;2,8664;2,7902;2,7195;2,636;2,5922;2,3449;2,2657
224,8;2,8683;2,7832;2,7005;2,6157;2,56;2,3099;2,2284
224,9;2,8735;2,7813;2,693;2,583;2,5261;2,2769;2,1873
225;2,8792;2,7796;2,6712;2,5604;2,4984;2,238;2,1491
225,1;2,887;2,7722;2,6543;2,5274;2,4674;2,1947;2,1091
225,2;2,8828;2,7611;2,6277;2,4889;2,4287;2,1496;2,0649
225,3;2,8819;2,7445;2,6075;2,4609;2,3923;2,1072;2,0256
225,4;2,8705;2,7319;2,5902;2,4205;2,3514;2,0633;1,9835
225,5;2,8571;2,7168;2,5596;2,3788;2,3026;2,0201;1,9372
225,6;2,863;2,7037;2,5301;2,343;2,2599;1,9802;1,8953
225,7;2,8615;2,6924;2,4794;2,3016;2,2131;1,9323;1,8532
225,8;2,87;2,6769;2,4402;2,2612;2,1681;1,8918;1,8101
225,9;2,868;2,652;2,408;2,2266;2,1256;1,8491;1,7723
226;2,8559;2,6228;2,3735;2,1819;2,086;1,8026;1,7298
226,1;2,8663;2,5989;2,3421;2,1414;2,0451;1,763;1,6902
226,2;2,8677;2,5641;2,3009;2,0977;2,0016;1,7206;1,6506
226,3;2,8752;2,5356;2,2529;2,0518;1,9546;1,681;1,6072
