X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
156,32;2,65E-05;169,52;2,00E-10;170,88;0,001037708;;;163,6;0,000177454;133,6;4,93E-08
156,56;5,86E-05;169,66;3,00E-10;171,04;0,00157083;;;163,8;0,000324624;133,8;1,44E-07
156,8;0,000126417;169,8;5,00E-10;171,2;0,002362204;;;164;0,000586593;134;4,09E-07
157,04;0,000266712;169,94;9,00E-10;171,36;0,003529142;;;164,2;0,001047147;134,2;1,13E-06
157,28;0,000550225;170,08;1,50E-09;171,52;0,005238593;;;164,4;0,001846906;134,4;3,02E-06
157,52;0,001110148;170,22;2,50E-09;171,68;0,007726533;;;164,6;0,003218851;134,6;7,85E-06
157,76;0,002191029;170,36;4,40E-09;171,84;0,011324273;;;164,8;0,005544039;134,8;1,98E-05
158;0,004230829;170,5;7,40E-09;172;0,016493905;;;165;0,009437806;135;0,000048753
158,24;0,007994567;170,64;1,25E-08;172,16;0,023875722;;;165,2;0,015881207;135,2;0,000116453
158,48;0,014785568;170,78;2,11E-08;172,32;0,034351225;;;165,4;0,026418666;135,4;0,000270541
158,72;0,026769205;170,92;3,53E-08;172,48;0,049126292;;;165,6;0,043450918;135,6;0,000611452
158,96;0,0474534;171,06;5,88E-08;172,64;0,069840207;;;165,8;0,070662994;135,8;0,001344817
159,2;0,082378322;171,2;9,73E-08;172,8;0,098707676;;;166;0,113640432;136;0,002879119
159,44;0,140071865;171,34;0,00000016;172,96;0,138702602;;;166,2;0,180743481;136,2;0,006001787
159,68;0,23332387;171,48;2,62E-07;173,12;0,193794366;;;166,4;0,284328798;136,4;0,012185967
159,92;0,380815793;171,62;4,26E-07;173,28;0,269249707;;;166,6;0,442430788;136,6;0,024106695
160,16;0,609108691;171,76;6,89E-07;173,44;0,372015964;;;166,8;0,681039455;136,8;0,046479495
160,4;0,954936685;171,9;1,11E-06;173,6;0,511204563;;;167;1,03713696;137;0,087375279
160,64;1,46767364;172,04;1,77E-06;173,76;0,698697172;;;167,2;1,562678554;137,2;0,160209566
160,88;2,211740037;172,18;2,82E-06;173,92;0,949900859;;;167,4;2,329721735;137,4;0,286645252
161,12;3,268603266;172,32;4,46E-06;174,08;1,284682987;;;167,6;3,436915633;137,6;0,500678344
161,36;4,737913316;172,46;7,02E-06;174,24;1,728521259;;;167,8;5,01755499;137,8;0,854187019
161,6;6,737229799;172,6;1,10E-05;174,4;2,313909328;;;168;7,249372722;138;1,424211748
161,84;9,399762962;172,74;1,71E-05;174,56;3,082063477;;;168,2;10,36618448;138,2;2,322202646
162,08;12,86959981;172,88;2,65E-05;174,72;4,084980935;;;168,4;14,67140053;138,4;3,705438859
162,32;17,29404025;173,02;4,07E-05;174,88;5,387905073;;;168,6;20,55327828;138,6;5,790829833
162,56;22,81293866;173,16;6,24E-05;175,04;7,07225673;;;168,8;28,50159864;138,8;8,8713995
162,8;29,54532648;173,3;9,50E-05;175,2;9,239093735;;;169;39,12521142;139;13,33598221
163,04;37,57404816;173,44;0,000144001;175,36;12,01316179;;;169,2;53,16961397;139,2;19,69305001
163,28;46,92962176;173,58;0,000217056;175,52;15,54759855;;;169,4;71,53341522;139,4;28,60011403
163,52;57,57495862;173,72;0,000325457;175,68;20,02934833;;;169,6;95,28221541;139,6;40,90067712
163,76;69,39285903;173,86;0,000485449;175,84;25,68533611;;;169,8;125,6581275;139,8;57,67102727
164;82,17826365;174;0,00072033;176;32,78943637;;;170;164,0829181;140;80,27891769
164,24;95,63702585;174,14;0,001063327;176,16;41,67025235;;;170,2;212,1525955;140,2;110,4550015
164,48;109,3924626;174,28;0,001561566;176,32;52,71969544;;;170,4;271,6212678;140,4;150,3754604
164,72;123,0001722;174,42;0,002281508;176,48;66,40232023;;;170,6;344,3722795;140,6;202,7504853
164,96;135,9706608;174,56;0,003316363;176,64;83,26532843;;;170,8;432,3750515;140,8;270,9083989
165,2;147,7983188;174,7;0,004796127;176,8;103,9491042;;;171;537,6267123;141;358,8600023
165,44;157,9943859;174,84;0,006901091;176,96;129,198084;;;171,2;662,0785384;141,2;471,3234131
165,68;166,1208814;174,98;0,009879921;177,12;159,8716968;;;171,4;807,5483777;141,4;613,687817
165,92;171,8221732;175,12;0,014073684;177,28;196,9550367;;;171,6;975,6215717;141,6;791,8967674
166,16;174,8509807;175,26;0,0199476;177,44;241,5688524;;;171,8;1167,544334;141,8;1012,239089
166,4;175,0861482;175,4;0,028132735;177,6;294,9783567;;;172;1384,114967;142;1281,048279
166,64;172,5404181;175,54;0,039480405;177,76;358,6002833;;;172,2;1625,579563;142,2;1604,328402
166,88;167,357552;175,68;0,055132717;177,92;434,0075443;;;172,4;1891,53983;142,4;1987,343221
167,12;159,7993307;175,82;0,076613474;178,08;522,930786;;;172,6;2180,881175;142,6;2434,22168
167,36;150,2240436;175,96;0,105944553;178,24;627,2560954;;;172,8;2491,729155;142,8;2947,642386
167,6;139,0589174;176,1;0,145793971;178,4;749,0180953;;;173;2821,441662;143;3528,658118
167,84;126,7694212;176,24;0,199663023;178,56;890,3876772;;;173,2;3166,642793;143,2;4176,705987
168,08;113,8285031;176,38;0,272121295;178,72;1053,65367;;;173,4;3523,302206;143,4;4889,81966
