X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
194,5;27,98956993;204,92;38,51408764;187,8;8,262500985;169,58;28,91243604;176,02;16,23502409;134,24;8,53E-06
195;46,86562668;205,2;47,02450783;188;11,33307235;169,8;38,55718441;176,2;21,40232425;134,4;1,93E-05
195,5;75,44503042;205,48;56,84795349;188,2;15,42880004;170,02;50,78924007;176,38;28,01150549;134,56;4,30E-05
196;116,8360079;205,76;68,05013227;188,4;20,84898021;170,24;66,09004972;176,56;36,39995346;134,72;9,38E-05
196,5;174,156914;206,04;80,6687335;188,6;27,96567899;170,46;84,96750638;176,74;46,96509732;134,88;0,00020106
197;250,0155568;206,32;94,70732298;188,8;37,23688951;170,68;107,9391975;176,92;60,17008246;135,04;0,000423113
197,5;345,8568277;206,6;110,1300483;189;49,22076738;170,9;135,511169;177,1;76,54868722;135,2;0,000874392
198;461,2812455;206,88;126,8576574;189,2;64,59065498;171,12;168,1527844;177,28;96,70908129;135,36;0,001774714
198,5;593,4839048;207,16;144,7653414;189,4;84,15047654;171,34;206,2687349;177,46;121,3359784;135,52;0,003538146
199;736,9803392;207,44;163,6828933;189,6;108,849943;171,56;250,1697171;177,64;151,1907044;135,68;0,00692948
199,5;883,7579938;207,72;183,3976183;189,8;139,7988553;171,78;300,0436975;177,82;187,1086911;135,84;0,013333839
200;1023,916708;208;203,6603484;190;178,2796426;172;355,9299568;178;229,993918;136;0,025211057
200,5;1146,752632;208,28;224,194807;190,2;225,7571285;172,22;417,6982039;178,18;280,8098683;136,16;0,046844601
201;1242,125476;208,56;244,7104357;190,4;283,884396;172,44;485,0349317;178,36;340,5666408;136,32;0,08554835
201,5;1301,863252;208,84;264,9186624;190,6;354,5035302;172,66;557,4388303;178,54;410,3039727;136,48;0,15356702
202;1320,930183;209,12;284,5524414;190,8;439,6399751;172,88;634,2264947;178,72;491,0700754;136,64;0,270999675
202,5;1298,124306;209,4;303,3887647;191;541,4892561;173,1;714,5489008;178,9;583,8963717;136,8;0,470190662
203;1236,171998;209,68;321,2737164;191,2;662,3949086;173,32;797,4182413;179,08;689,7684342;136,96;0,802164106
203,5;1141,219041;209,96;338,149532;191,4;804,8166263;173,54;881,7438073;179,26;809,5936626;137,12;1,345815977
204;1021,844804;210,24;354,0830309;191,6;971,2879024;173,76;966,3747727;179,44;944,1664878;137,28;2,220701887
204,5;887,8142994;210,52;369,294704;191,8;1164,362791;173,98;1050,147083;179,62;1094,132139;137,44;3,604338158
205;748,8126594;210,8;384,1876651;192;1386,551858;174,2;1131,931264;179,8;1259,950246;137,6;5,754925533
205,5;613,3775078;211,08;399,3755903;192,2;1640,247904;174,42;1210,677889;179,98;1441,85975;137,76;9,040255214
206;488,1723285;211,36;415,7086843;192,4;1927,64263;174,64;1285,457717;180,16;1639,846757;137,92;13,97320536
206,5;377,6534119;211,64;434,2966047;192,6;2250,636024;174,86;1355,494086;180,34;1853,617053;138,08;21,25362422
207;284,0993468;211,92;456,5271538;192,8;2610,740856;175,08;1420,185977;180,52;2082,575021;138,24;31,8154794
207,5;207,9134671;212,2;484,0794089;193;3008,985291;175,3;1479,121146;180,7;2325,810621;138,4;46,87691848
208;148,0836036;212,48;518,9298224;193,2;3445,817097;175,52;1532,079682;180,88;2582,095915;138,56;67,98937045
208,5;102,6873992;212,76;563,3496949;193,4;3921,013393;175,74;1579,029301;181,06;2849,892368;138,72;97,08012378
209;69,35607545;213,04;619,8923405;193,6;4433,600095;175,96;1620,114296;181,24;3127,369773;138,88;136,4811272
209,5;45,64339344;213,32;691,3682446;193,8;4981,785329;176,18;1655,64048;181,42;3412,437203;139,04;188,9353342
210;29,2795133;213,6;780,8066074;194;5562,910949;176,4;1686,058443;181,6;3702,785891;139,2;257,5710792
