Wavelengt [nm],s1.1,s2.1,s3.1,s4.1,s5.1,s6.1,s7.1,s8.1
379.4,6.931160599121054e-23,1.1541921354880072e-22,2.3552889405513123e-22,2.0773216341047847e-22,7.3999053070906315e-22,1.981488687819459e-21,8.243975479738137e-22,2.182202590501495e-21
379.6,6.935937415522929e-23,1.1485710698930981e-22,2.340178827059403e-22,2.0852503426319022e-22,7.363948527172796e-22,1.9862981263821276e-21,8.132570405687621e-22,2.2150670873463966e-21
379.8,6.940714231924804e-23,1.1485710698930981e-22,2.336401298686426e-22,2.0971434054225787e-22,7.349565815205661e-22,1.98950441875724e-21,8.104719137174992e-22,2.2282128860843574e-21
380.0,6.95504468113043e-23,1.1532552912221892e-22,2.3345125344999375e-22,2.1130008224768136e-22,7.37833123913993e-22,1.98950441875724e-21,8.104719137174992e-22,2.234785785453338e-21
380.2,6.945491048326679e-23,1.1476342256272798e-22,2.3382900628729143e-22,2.1090364682132546e-22,7.37833123913993e-22,1.9846949801945714e-21,8.049016600149734e-22,2.208494187977416e-21
380.4,6.935937415522929e-23,1.143886848564007e-22,2.3269574777539827e-22,2.0971434054225787e-22,7.3351831032385265e-22,1.9830918340070153e-21,7.993314063124477e-22,2.1887754898704754e-21
380.6,6.931160599121054e-23,1.1476342256272798e-22,2.3288462419404715e-22,2.0773216341047847e-22,7.3351831032385265e-22,1.9830918340070153e-21,8.16042167420025e-22,2.175629691132514e-21
380.8,6.907276517111677e-23,1.1513816026905526e-22,2.33073500612696e-22,2.0812859883683435e-22,7.349565815205661e-22,1.979885541631903e-21,8.188272942712879e-22,2.175629691132514e-21
381.0,6.912053333513551e-23,1.1448236928298254e-22,2.33073500612696e-22,2.0971434054225787e-22,7.363948527172796e-22,1.981488687819459e-21,8.188272942712879e-22,2.175629691132514e-21
381.2,6.912053333513551e-23,1.1392026272349163e-22,2.3250687135674943e-22,2.0931790511590197e-22,7.342374459222093e-22,1.9782823954443464e-21,8.16042167420025e-22,2.182202590501495e-21
381.4,6.907276517111677e-23,1.1448236928298254e-22,2.3231799493810055e-22,2.0931790511590197e-22,7.356757171189228e-22,1.979885541631903e-21,8.216124211225507e-22,2.1953483892394553e-21
381.6,6.907276517111677e-23,1.142950004298189e-22,2.31751365682154e-22,2.0971434054225787e-22,7.356757171189228e-22,1.9766792492567907e-21,8.076867868662364e-22,2.208494187977416e-21
381.8,6.883392435102301e-23,1.1410763157665527e-22,2.31751365682154e-22,2.0812859883683435e-22,7.349565815205661e-22,1.9686635183190095e-21,8.16042167420025e-22,2.182202590501495e-21
382.0,6.878615618700425e-23,1.1392026272349163e-22,2.31751365682154e-22,2.089214696895461e-22,7.313609035287825e-22,1.973472956881678e-21,8.16042167420025e-22,2.182202590501495e-21
382.2,6.888169251504175e-23,1.1401394715007344e-22,2.3042923075161195e-22,2.089214696895461e-22,7.313609035287825e-22,1.9670603721314533e-21,8.104719137174992e-22,2.201921288608436e-21
382.4,6.883392435102301e-23,1.1410763157665527e-22,2.3137361284485623e-22,2.0852503426319022e-22,7.299226323320691e-22,1.9622509335687845e-21,8.188272942712879e-22,2.1953483892394553e-21
382.6,6.87383880229855e-23,1.136392094437462e-22,2.3137361284485623e-22,2.089214696895461e-22,7.284843611353556e-22,1.963854079756341e-21,8.132570405687621e-22,2.182202590501495e-21
382.8,6.888169251504175e-23,1.1298341845767345e-22,2.3042923075161195e-22,2.0812859883683435e-22,7.263269543402856e-22,1.9670603721314533e-21,7.965462794611848e-22,2.169056791763534e-21
383.0,6.902499700709801e-23,1.1335815616400072e-22,2.3024035433296307e-22,2.0852503426319022e-22,7.263269543402856e-22,1.9718698106941218e-21,7.965462794611848e-22,2.175629691132514e-21
383.2,6.897722884307926e-23,1.1345184059058253e-22,2.3024035433296307e-22,2.1011077596861372e-22,7.284843611353556e-22,1.9718698106941218e-21,8.021165331637106e-22,2.182202590501495e-21
383.4,6.87383880229855e-23,1.1335815616400072e-22,2.3042923075161195e-22,2.0931790511590197e-22,7.306417679304258e-22,1.9702666645065656e-21,8.076867868662364e-22,2.182202590501495e-21
383.6,6.849954720289173e-23,1.1354552501716436e-22,2.3005147791431424e-22,2.0812859883683435e-22,7.313609035287825e-22,1.9606477873812287e-21,8.076867868662364e-22,2.1559109930255733e-21
383.8,6.869061985896674e-23,1.132644717374189e-22,2.3024035433296307e-22,2.0812859883683435e-22,7.306417679304258e-22,1.9622509335687845e-21,8.104719137174992e-22,2.1624838923945535e-21
384.0,6.87383880229855e-23,1.132644717374189e-22,2.3042923075161195e-22,2.0773216341047847e-22,7.284843611353556e-22,1.9622509335687845e-21,8.188272942712879e-22,2.169056791763534e-21
384.2,6.845177903887298e-23,1.127960496045098e-22,2.2967372507701647e-22,2.0614642170505496e-22,7.234504119468586e-22,1.95583834881856e-21,8.076867868662364e-22,2.169056791763534e-21
384.4,6.826070638279797e-23,1.1288973403109162e-22,2.2929597223971875e-22,2.057499862786991e-22,7.248886831435721e-22,1.9478226178807787e-21,8.132570405687621e-22,2.1296193955496513e-21
384.6,6.859508353092923e-23,1.1335815616400072e-22,2.291070958210699e-22,2.0812859883683435e-22,7.263269543402856e-22,1.9542352026310037e-21,8.104719137174992e-22,2.1559109930255733e-21
384.8,6.845177903887298e-23,1.132644717374189e-22,2.287293429837722e-22,2.0971434054225787e-22,7.256078187419288e-22,1.9606477873812287e-21,8.049016600149734e-22,2.1953483892394553e-21
385.0,6.845177903887298e-23,1.1317078731083709e-22,2.281627137278256e-22,2.0931790511590197e-22,7.263269543402856e-22,1.957441495006116e-21,8.132570405687621e-22,2.1953483892394553e-21
385.2,6.845177903887298e-23,1.1298341845767345e-22,2.291070958210699e-22,2.1050721139496961e-22,7.284843611353556e-22,1.957441495006116e-21,8.132570405687621e-22,2.1887754898704754e-21
385.4,6.83084745468167e-23,1.1298341845767345e-22,2.2929597223971875e-22,2.1011077596861372e-22,7.263269543402856e-22,1.95583834881856e-21,8.076867868662364e-22,2.1953483892394553e-21
385.6,6.840401087485422e-23,1.1317078731083709e-22,2.2891821940242103e-22,2.0773216341047847e-22,7.256078187419288e-22,1.9494257640683352e-21,8.132570405687621e-22,2.1624838923945535e-21
385.8,6.81174018907417e-23,1.1317078731083709e-22,2.287293429837722e-22,2.057499862786991e-22,7.256078187419288e-22,1.941410033130554e-21,8.132570405687621e-22,2.1164735968116905e-21
386.0,6.83084745468167e-23,1.1242131189818252e-22,2.281627137278256e-22,2.0614642170505496e-22,7.256078187419288e-22,1.9446163255056668e-21,7.993314063124477e-22,2.123046496180671e-21
386.2,6.849954720289173e-23,1.122339430450189e-22,2.27596084471879e-22,2.073357279841226e-22,7.212930051517884e-22,1.9478226178807787e-21,7.937611526099219e-22,2.1296193955496513e-21
386.4,6.835624271083547e-23,1.1260868075134618e-22,2.2721833163458127e-22,2.073357279841226e-22,7.212930051517884e-22,1.9430131793181102e-21,8.021165331637106e-22,2.136192294918632e-21
386.6,6.835624271083547e-23,1.1242131189818252e-22,2.2702945521593244e-22,2.0773216341047847e-22,7.19854733955075e-22,1.939806886942998e-21,8.021165331637106e-22,2.1296193955496513e-21
386.8,6.840401087485422e-23,1.1251499632476435e-22,2.26273949541337e-22,2.089214696895461e-22,7.169781915616481e-22,1.9430131793181102e-21,7.909760257586591e-22,2.142765194287612e-21
387.0,6.845177903887298e-23,1.1260868075134618e-22,2.2684057879728355e-22,2.073357279841226e-22,7.176973271600049e-22,1.9462194716932225e-21,7.881908989073961e-22,2.1559109930255733e-21
387.2,6.845177903887298e-23,1.1251499632476435e-22,2.2721833163458127e-22,2.0654285713141085e-22,7.169781915616481e-22,1.9366005945678856e-21,7.909760257586591e-22,2.1493380936565927e-21
387.4,6.835624271083547e-23,1.1270236517792798e-22,2.2646282595998583e-22,2.0654285713141085e-22,7.162590559632914e-22,1.9317911560052167e-21,7.993314063124477e-22,2.1164735968116905e-21
387.6,6.845177903887298e-23,1.1270236517792798e-22,2.260850731226881e-22,2.073357279841226e-22,7.14820784766578e-22,1.9317911560052167e-21,7.937611526099219e-22,2.1296193955496513e-21
387.8,6.864285169494798e-23,1.1260868075134618e-22,2.2665170237863467e-22,2.073357279841226e-22,7.141016491682213e-22,1.9301880098176606e-21,7.826206452048704e-22,2.142765194287612e-21
388.0,6.854731536691048e-23,1.1260868075134618e-22,2.2684057879728355e-22,2.073357279841226e-22,7.155399203649347e-22,1.9301880098176606e-21,7.826206452048704e-22,2.142765194287612e-21
388.2,6.849954720289173e-23,1.1298341845767345e-22,2.2721833163458127e-22,2.073357279841226e-22,7.191355983567184e-22,1.9317911560052167e-21,7.965462794611848e-22,2.1296193955496513e-21
388.4,6.864285169494798e-23,1.1260868075134618e-22,2.2684057879728355e-22,2.0773216341047847e-22,7.169781915616481e-22,1.9285848636301048e-21,7.937611526099219e-22,2.136192294918632e-21
388.6,6.859508353092923e-23,1.1251499632476435e-22,2.260850731226881e-22,2.073357279841226e-22,7.141016491682213e-22,1.9285848636301048e-21,7.826206452048704e-22,2.1296193955496513e-21
