X Mn cam 1;Y Mn cam 1;X Mn cam 2;Y Mn cam 2;X Mn wb 1;Y Mn wb 1;X Mn wb 2;Y Mn wb 2;X MnCl+ cam 1;Y MnCl+ cam 1;X MnCl+ cam 2;Y MnCl+ cam 2;X MnCl+ wb 1;Y MnCl+ wb 1;X MnCl+ wb 2;Y MnCl+ wb 2;X MnCl2 cam 1;Y MnCl2 cam 1;X MnCl2 cam 2;Y MnCl2 cam 2;X MnCl2 wb 1;Y MnCl2 wb 1;X MnCl2 wb 2;Y MnCl2 wb 2;X MnCl2 wb 3;Y MnCl2 wb 3;X MnCl2 wb 4;Y MnCl2 wb 4;X MnCl2 wb 5;Y MnCl2 wb 5;X MnCl3- cam 1;Y MnCl3- cam 1;X MnCl3- cam 2;Y MnCl3- cam 2;X MnCl3- cam 3;Y MnCl3- cam 3;X MnCl3- cam 4;Y MnCl3- cam 4;X MnCl3- cam 5;Y MnCl3- cam 5;X MnCl3- wb 1;Y MnCl3- wb 1;X MnCl3- wb 2;Y MnCl3- wb 2;X MnCl3- wb 3;Y MnCl3- wb 3
197;61,39088841;191;2061,616446;197;175,9623991;191;4172,273892;295;253,9123189;262,5;561,8214903;295;348,0633718;262,5;533,177525;244;1739,727646;231;1625,216509;244;2180,334917;231;610,937605;231;1011,48955;231;419,8991529;218;994,7760628;231;4637,778368;231;2696,964495;244;777,6244982;231;801,7672112;231;882,1324864;231;4162,700378;231;1242,954457;218;4275,484803
197,36;69,51111648;191,28;1956,0596;197,36;188,6306803;191,28;4056,383828;295,6;251,2990239;263;536,0993126;295,6;348,9612412;263;522,6942904;244,32;1738,563132;231,28;1606,88089;244,32;2187,231831;231,28;575,4472382;231,28;989,543514;231,28;397,7384451;218,24;959,6585547;231,28;4628,576848;231,28;2601,344639;244,32;752,2583652;231,28;811,6119659;231,28;873,8803173;231,28;4069,773044;231,28;1171,512708;218,24;4203,266322
197,72;78,99772469;191,56;1855,155484;197,72;202,1155376;191,56;3933,071537;296,2;248,6753368;263,5;512,3988731;296,2;350,0949077;263,5;513,442411;244,64;1734,794004;231,56;1587,384922;244,64;2190,801493;231,56;541,4377794;231,56;966,8186652;231,56;376,2684912;218,48;925,0266765;231,56;4612,970164;231,56;2506,232662;244,64;726,6768537;231,56;820,4055985;231,56;865,0602887;231,56;3973,589166;231,56;1102,899521;218,48;4128,050768
198,08;89,94148893;191,84;1759,064145;198,08;216,5343269;191,84;3803,369144;296,8;246,0852548;264;490,7348088;296,8;351,5267701;264;505,4889312;244,96;1728,454517;231,84;1566,71803;244,96;2191,051306;231,84;508,8914827;231,84;943,3918805;231,84;355,5071917;218,72;890,9207034;231,84;4591,06115;231,84;2411,835904;244,96;700,9667485;231,84;828,1128007;231,84;855,6671657;231,84;3874,516073;231,84;1037,108766;218,72;4050,043773
198,44;102,4377078;192,12;1667,873135;198,44;232,0214486;192,12;3668,312171;297,4;243,5766376;264,5;471,1122167;297,4;353,3205367;264,5;498,8876647;245,28;1719,590434;232,12;1544,880562;245,28;2188,003991;232,12;477,7874827;232,12;919,3415683;232,12;335,4685754;218,96;857,377713;232,12;4562,978556;232,12;2318,350317;245,28;675,2116031;232,12;834,7036953;232,12;845,6989699;232,12;3772,920896;232,12;974,1242343;218,96;3969,457297
198,8;116,5851799;192,4;1581,603488;198,8;248,7278127;192,4;3528,927167;298;241,2003851;265;453,5267475;298;355,539995;265;493,6786256;245,6;1708,258483;232,4;1521,883267;245,6;2181,697191;232,4;448,1019941;232,4;894,7470876;232,4;316,1629429;219,2;824,431623;232,4;4528,875763;232,4;2225,96003;245,6;649,4913671;232,4;840,1539036;232,4;835,1570261;232,4;3669,168473;232,4;913,9203879;219,2;3886,508351
199,16;132,4850076;192,68;1500,216283;199,16;266,8197547;192,68;3386,220274;298,6;239,0096119;265,5;437,9647145;298,6;358,2478112;265,5;489,8876293;245,92;1694,525762;232,68;1497,746712;245,92;2172,18296;232,68;419,8085225;232,68;869,6881877;232,68;297,5970293;219,44;792,1132426;232,68;4488,929356;232,68;2134,837014;245,92;623,8820624;232,68;844,444581;232,68;824,0459742;232,68;3563,619365;232,68;856,4631144;219,44;3801,417749
199,52;150,2392372;192,96;1423,619621;199,52;286,4773702;192,96;3241,166862;299,2;237,0588279;266;424,4032236;299,2;361,5043757;266;487,5260657;246,24;1678,469073;232,96;1472,500649;246,24;2159,527171;232,96;392,8780853;232,96;844,2444707;232,96;279,7741844;219,68;760,4503337;232,96;4443,337578;232,96;2045,140832;246,24;598,4555123;232,96;847,5624195;232,96;812,3737461;232,96;3456,627998;232,96;801,710484;219,68;3714,408889
199,88;169,9493439;193,24;1351,675829;199,88;307,892255;193,24;3094,702336;299,8;235,4031325;266,5;412,810328;299,8;365,3667062;266,5;486,5908399;246,56;1660,174211;233,24;1446,183344;246,56;2143,808824;233,24;367,2794385;233,24;818,4948823;233,24;262,6945666;219,92;729,4676824;233,24;4392,318679;233,24;1957,018476;246,56;573,2791179;233,24;849,4996175;233,24;800,1515113;233,24;3348,540929;233,24;749,613501;219,92;3625,706567
200,24;191,7145759;193,52;1284,208726;200,24;331,2646517;193,52;2947,714197;300,4;234,0974297;267;403,1452135;300,4;369,8874191;267;487,0644806;246,88;1639,735211;233,52;1418,840873;246,88;2125,119284;233,52;342,9793083;233,52;792,517232;233,52;246,3553475;220,16;699,1871786;233,52;4336,109173;233,52;1870,604289;246,88;548,4156849;233,52;850,2538169;233,52;787,39359;233,52;3239,695252;233,52;700,1168447;220,16;3535,535835
