X MnH2O;Y MnH2O;X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-
150,7;7858,614001;229,5;26,52652884;214;3130,566093;199,2;7702,894451
150,92;7831,11888;230,2;32,46945349;214,4;3352,785326;199,52;7611,28607
151,14;7768,161477;230,9;39,34868842;214,8;3577,172922;199,84;7498,760745
151,36;7670,54249;231,6;47,21002664;215,2;3802,113922;200,16;7366,764637
151,58;7539,590658;232,3;56,08123676;215,6;4025,898631;200,48;7216,884983
151,8;7377,117393;233;65,96795604;216;4246,745752;200,8;7050,824363
152,02;7185,3618;233,7;76,85014792;216,4;4462,827885;201,12;6870,374638
152,24;6966,928075;234,4;88,6793593;216,8;4672,298836;201,44;6677,391094
152,46;6724,71745;235,1;101,3769979;217,2;4873,322138;201,76;6473,767275
152,68;6461,856866;235,8;114,8338158;217,6;5064,100121;202,08;6261,410948
152,9;6181,626538;236,5;128,9107359;218;5242,902867;202,4;6042,221563
153,12;5887,388481;237,2;143,4410922;218,4;5408,096351;202,72;5818,069518
153,34;5582,517867;237,9;158,234284;218,8;5558,169119;203,04;5590,777457
153,56;5270,33888;238,6;173,0807658;219,2;5691,756874;203,36;5362,103762
153,78;4954,066455;239,3;187,7582205;219,6;5807,664402;203,68;5133,728342
154;4636,755006;240;202,0386987;220;5904,884339;204;4907,240731
154,22;4321,254917;240,7;215,6964492;220,4;5982,612389;204,32;4684,130486
154,44;4010,177295;241,4;228,5161338;220,8;6040,258662;204,64;4465,779788
154,66;3705,867155;242,1;240,301097;221,2;6077,454951;204,96;4253,458126
154,88;3410,384958;242,8;250,8813653;221,6;6094,057836;205,28;4048,318912
155,1;3125,496167;243,5;260,1210711;222;6090,147645;205,6;3851,397826
155,32;2852,668276;244,2;267,9250305;222,4;6066,023382;205,92;3663,612705
155,54;2593,074618;244,9;274,244258;222,8;6022,193839;206,24;3485,76474
155,76;2347,604107;245,6;279,0802527;223,2;5959,365198;206,56;3318,540796
155,98;2116,876018;246,3;282,4879554;223,6;5878,42551;206,88;3162,516615
156,2;1901,25884;247;284,5773312;224;5780,426484;207,2;3018,160727
156,42;1700,892247;247,7;285,5135851;224,4;5666,563071;207,52;2885,838877
156,64;1515,711258;248,4;285,5160616;224,8;5538,151381;207,84;2765,8188
156,86;1345,471709;249,1;284,8559087;225,2;5396,605446;208,16;2658,275219
157,08;1189,776236;249,8;283,8526085;225,6;5243,413378;208,48;2563,29494
157,3;1048,100061;250,5;282,8694798;226;5080,113427;208,8;2480,88195
157,52;919,8159762;251,2;282,3082608;226,4;4908,270443;209,12;2410,962468
