X Mn cam 1aq;Y Mn cam 1aq;X Mn cam 2aq;Y Mn cam 2aq;X Mn cam 3aq;Y Mn cam 3aq;X Mn cam 4aq;Y Mn cam 4aq;X Mn cam 5aq;Y Mn cam 5aq;X Mn cam 6aq;Y Mn cam 6aq;X Mn wb 1aq;Y Mn wb 1aq;X Mn wb 2aq;Y Mn wb 2aq;X Mn wb 3aq;Y Mn wb 3aq;X Mn wb 4aq;Y Mn wb 4aq;X Mn wb 5aq;Y Mn wb 5aq;X Mn wb 6aq;Y Mn wb 6aq;X Cl cam 1aq;Y Cl cam 1aq;X Cl cam 2aq;Y Cl cam 2aq;X Cl cam 3aq;Y Cl cam 3aq;X Cl cam 4aq;Y Cl cam 4aq;X Cl cam 5aq;Y Cl cam 5aq;X Cl cam 6aq;Y Cl cam 6aq;X Cl wb 1aq;Y Cl wb 1aq;X Cl wb 2aq;Y Cl wb 2aq;X Cl wb 4aq;Y Cl wb 4aq;X Cl wb 5aq;Y Cl wb 5aq;X Cl wb 6aq;Y Cl wb 6aq;X Cl2 cam 1aq;Y Cl2 cam 1aq;X Cl2 cam 2aq;Y Cl2 cam 2aq;X Cl2 cam 3aq;Y Cl2 cam 3aq;X Cl2 cam 4aq;Y Cl2 cam 4aq;X Cl2 cam 5aq;Y Cl2 cam 5aq;X Cl2 cam 6aq;Y Cl2 cam 6aq;X Cl2 wb 1aq;Y Cl2 wb 1aq;X Cl2 wb 2aq;Y Cl2 wb 2aq;X Cl2 wb 3aq;Y Cl2 wb 3aq;X Cl3 cam 1aq;Y Cl3 cam 1aq;X Cl3 cam 2aq;Y Cl3 cam 2aq;X Cl3 cam 3aq;Y Cl3 cam 3aq;X Cl3 cam 4aq;Y Cl3 cam 4aq;X Cl3 cam 5aq;Y Cl3 cam 5aq;X Cl3 cam 6aq;Y Cl3 cam 6aq;X Cl3 wb 1aq;Y Cl3 wb 1aq;X Cl3 wb 2aq;Y Cl3 wb 2aq;X Cl3 wb 3aq;Y Cl3 wb 3aq;X Cl3 wb 4aq;Y Cl3 wb 4aq;X Cl3 wb 5aq;Y Cl3 wb 5aq;X Cl3 wb 6aq;Y Cl3 wb 6aq
83,6;0;102,8;0;112;0;121,8;0;112,2;0;112,2;0;83,6;0;102,8;0;112;0;121,6;0;112;0;112;0;106;0;124,4;0;123,2;0;123,2;0;123,6;0;122,8;0;105;0;124;0;123,2;0;123,2;0;122,8;0;143,2;0;143,2;0;142,8;0;142,8;0;142,8;0;123,2;0;143,2;0;142,8;0;142,4;0;143,2;0;143,2;0;142,8;0;142,8;0;142,8;0;142,8;0;142,8;0;142,8;0;142,8;0;142,8;0;142,4;0;123,2;0
83,96;0;103,08;0;112,2;0;121,98;0;112,42;0;112,42;0;83,96;0;103,08;0;112,2;0;121,76;0;112,2;0;112,2;0;106,6;0;124,84;0;123,52;0;123,52;0;123,96;0;123,08;0;105,5;0;124,4;0;123,52;0;123,52;0;123,08;0;143,52;0;143,52;0;143,08;0;143,08;0;143,08;0;123,52;0;143,52;0;143,08;0;142,64;0;143,52;0;143,52;0;143,08;0;143,08;0;143,08;0;143,08;0;143,08;0;143,08;0;143,08;0;143,08;0;142,64;0;123,52;0
84,32;0;103,36;0;112,4;0;122,16;0;112,64;0;112,64;0;84,32;0;103,36;0;112,4;0;121,92;0;112,4;0;112,4;0;107,2;0;125,28;0;123,84;0;123,84;0;124,32;0;123,36;0;106;0;124,8;0;123,84;0;123,84;0;123,36;0;143,84;0;143,84;0;143,36;0;143,36;0;143,36;0;123,84;0;143,84;0;143,36;0;142,88;0;143,84;0;143,84;0;143,36;0;143,36;0;143,36;0;143,36;0;143,36;0;143,36;0;143,36;0;143,36;0;142,88;0;123,84;0
84,68;0;103,64;0;112,6;0;122,34;0;112,86;0;112,86;0;84,68;0;103,64;0;112,6;0;122,08;0;112,6;0;112,6;0;107,8;0;125,72;0;124,16;0;124,16;0;124,68;0;123,64;0;106,5;0;125,2;0;124,16;0;124,16;0;123,64;0;144,16;0;144,16;0;143,64;0;143,64;0;143,64;0;124,16;0;144,16;0;143,64;0;143,12;0;144,16;0;144,16;0;143,64;0;143,64;0;143,64;0;143,64;0;143,64;0;143,64;0;143,64;0;143,64;0;143,12;0;124,16;0
85,04;0;103,92;0;112,8;0;122,52;0;113,08;0;113,08;0;85,04;0;103,92;0;112,8;0;122,24;0;112,8;0;112,8;0;108,4;0;126,16;0;124,48;0;124,48;0;125,04;0;123,92;0;107;0;125,6;0;124,48;0;124,48;0;123,92;0;144,48;0;144,48;0;143,92;0;143,92;0;143,92;0;124,48;0;144,48;0;143,92;0;143,36;0;144,48;0;144,48;0;143,92;0;143,92;0;143,92;0;143,92;0;143,92;0;143,92;0;143,92;0;143,92;0;143,36;0;124,48;0
85,4;0;104,2;0;113;0;122,7;0;113,3;0;113,3;0;85,4;0;104,2;0;113;0;122,4;0;113;0;113;0;109;0;126,6;0;124,8;0;124,8;0;125,4;0;124,2;0;107,5;0;126;0;124,8;0;124,8;0;124,2;0;144,8;0;144,8;0;144,2;0;144,2;0;144,2;0;124,8;0;144,8;0;144,2;0;143,6;0;144,8;0;144,8;0;144,2;0;144,2;0;144,2;0;144,2;0;144,2;0;144,2;0;144,2;0;144,2;0;143,6;0;124,8;0
85,76;0;104,48;0;113,2;0;122,88;0;113,52;0;113,52;0;85,76;0;104,48;0;113,2;0;122,56;0;113,2;0;113,2;0;109,6;0;127,04;0;125,12;0;125,12;0;125,76;0;124,48;0;108;0;126,4;0;125,12;0;125,12;0;124,48;0;145,12;0;145,12;0;144,48;0;144,48;0;144,48;0;125,12;0;145,12;0;144,48;0;143,84;0;145,12;0;145,12;0;144,48;0;144,48;0;144,48;0;144,48;0;144,48;0;144,48;0;144,48;0;144,48;0;143,84;0;125,12;0
86,12;0;104,76;0;113,4;0;123,06;0;113,74;0;113,74;0;86,12;0;104,76;0;113,4;0;122,72;0;113,4;0;113,4;0;110,2;0;127,48;0;125,44;0;125,44;0;126,12;0;124,76;0;108,5;0;126,8;0;125,44;0;125,44;0;124,76;0;145,44;0;145,44;0;144,76;0;144,76;0;144,76;0;125,44;0;145,44;0;144,76;0;144,08;0;145,44;0;145,44;0;144,76;0;144,76;0;144,76;0;144,76;0;144,76;0;144,76;0;144,76;0;144,76;0;144,08;0;125,44;0
86,48;0;105,04;0;113,6;0;123,24;0;113,96;0;113,96;0;86,48;0;105,04;0;113,6;0;122,88;0;113,6;0;113,6;0;110,8;0;127,92;0;125,76;0;125,76;0;126,48;0;125,04;0;109;0;127,2;0;125,76;0;125,76;0;125,04;0;145,76;0;145,76;0;145,04;0;145,04;0;145,04;0;125,76;0;145,76;0;145,04;0;144,32;0;145,76;0;145,76;0;145,04;0;145,04;0;145,04;0;145,04;0;145,04;0;145,04;0;145,04;0;145,04;0;144,32;0;125,76;0
86,84;0;105,32;0;113,8;0;123,42;0;114,18;0;114,18;0;86,84;0;105,32;0;113,8;0;123,04;0;113,8;0;113,8;0;111,4;0;128,36;0;126,08;0;126,08;0;126,84;0;125,32;0;109,5;0;127,6;0;126,08;0;126,08;0;125,32;0;146,08;0;146,08;0;145,32;0;145,32;0;145,32;0;126,08;0;146,08;0;145,32;0;144,56;0;146,08;0;146,08;0;145,32;0;145,32;0;145,32;0;145,32;0;145,32;0;145,32;0;145,32;0;145,32;0;144,56;0;126,08;0
87,2;0;105,6;0;114;0;123,6;0;114,4;0;114,4;0;87,2;0;105,6;0;114;0;123,2;0;114;0;114;0;112;0;128,8;0;126,4;0;126,4;0;127,2;0;125,6;0;110;0;128;0;126,4;0;126,4;0;125,6;0;146,4;0;146,4;0;145,6;0;145,6;0;145,6;0;126,4;0;146,4;0;145,6;0;144,8;0;146,4;0;146,4;0;145,6;0;145,6;0;145,6;0;145,6;0;145,6;0;145,6;0;145,6;0;145,6;0;144,8;0;126,4;0
87,56;0;105,88;0;114,2;0;123,78;0;114,62;0;114,62;0;87,56;0;105,88;0;114,2;0;123,36;0;114,2;0;114,2;0;112,6;0;129,24;0;126,72;0;126,72;0;127,56;0;125,88;0;110,5;0;128,4;0;126,72;0;126,72;0;125,88;0;146,72;0;146,72;0;145,88;0;145,88;0;145,88;0;126,72;0;146,72;0;145,88;0;145,04;0;146,72;0;146,72;0;145,88;0;145,88;0;145,88;0;145,88;0;145,88;0;145,88;0;145,88;0;145,88;0;145,04;0;126,72;0
87,92;0;106,16;0;114,4;0;123,96;0;114,84;0;114,84;0;87,92;0;106,16;0;114,4;0;123,52;0;114,4;0;114,4;0;113,2;0;129,68;0;127,04;0;127,04;0;127,92;0;126,16;0;111;0;128,8;0;127,04;0;127,04;0;126,16;0;147,04;0;147,04;0;146,16;0;146,16;0;146,16;0;127,04;0;147,04;0;146,16;0;145,28;0;147,04;0;147,04;0;146,16;0;146,16;0;146,16;0;146,16;0;146,16;0;146,16;0;146,16;0;146,16;0;145,28;0;127,04;0
88,28;0;106,44;0;114,6;0;124,14;0;115,06;0;115,06;0;88,28;0;106,44;0;114,6;0;123,68;0;114,6;0;114,6;0;113,8;0;130,12;0;127,36;0;127,36;0;128,28;0;126,44;0;111,5;0;129,2;0;127,36;0;127,36;0;126,44;0;147,36;0;147,36;0;146,44;0;146,44;0;146,44;0;127,36;0;147,36;0;146,44;0;145,52;0;147,36;0;147,36;0;146,44;0;146,44;0;146,44;0;146,44;0;146,44;0;146,44;0;146,44;0;146,44;0;145,52;0;127,36;0
88,64;0;106,72;0;114,8;0;124,32;0;115,28;0;115,28;0;88,64;0;106,72;0;114,8;0;123,84;0;114,8;0;114,8;0;114,4;0;130,56;0;127,68;0;127,68;0;128,64;0;126,72;0;112;0;129,6;0;127,68;0;127,68;0;126,72;0;147,68;0;147,68;0;146,72;0;146,72;0;146,72;0;127,68;0;147,68;0;146,72;0;145,76;0;147,68;0;147,68;0;146,72;0;146,72;0;146,72;0;146,72;0;146,72;0;146,72;0;146,72;0;146,72;0;145,76;0;127,68;0
89;0;107;0;115;0;124,5;0;115,5;0;115,5;0;89;0;107;0;115;0;124;0;115;0;115;0;115;0;131;0;128;0;128;0;129;0;127;0;112,5;0;130;0;128;0;128;0;127;0;148;0;148;0;147;0;147;0;147;0;128;0;148;0;147;0;146;0;148;0;148;0;147;0;147;0;147;0;147;0;147;0;147;0;147;0;147;0;146;0;128;0
89,36;0;107,28;0;115,2;0;124,68;0;115,72;0;115,72;0;89,36;0;107,28;0;115,2;0;124,16;0;115,2;0;115,2;0;115,6;0;131,44;0;128,32;0;128,32;0;129,36;0;127,28;0;113;0;130,4;0;128,32;0;128,32;0;127,28;0;148,32;0;148,32;0;147,28;0;147,28;0;147,28;0;128,32;0;148,32;0;147,28;0;146,24;0;148,32;0;148,32;0;147,28;0;147,28;0;147,28;0;147,28;0;147,28;0;147,28;0;147,28;0;147,28;0;146,24;0;128,32;0
89,72;0;107,56;0;115,4;0;124,86;0;115,94;0;115,94;0;89,72;0;107,56;0;115,4;0;124,32;0;115,4;0;115,4;0;116,2;0;131,88;0;128,64;0;128,64;0;129,72;0;127,56;0;113,5;0;130,8;0;128,64;0;128,64;0;127,56;0;148,64;0;148,64;0;147,56;0;147,56;0;147,56;0;128,64;0;148,64;0;147,56;0;146,48;0;148,64;0;148,64;0;147,56;0;147,56;0;147,56;0;147,56;0;147,56;0;147,56;0;147,56;0;147,56;0;146,48;0;128,64;0
90,08;0;107,84;0;115,6;0;125,04;0;116,16;0;116,16;0;90,08;0;107,84;0;115,6;0;124,48;0;115,6;0;115,6;0;116,8;0;132,32;0;128,96;0;128,96;0;130,08;0;127,84;0;114;0;131,2;0;128,96;0;128,96;0;127,84;0;148,96;0;148,96;0;147,84;0;147,84;0;147,84;0;128,96;0;148,96;0;147,84;0;146,72;0;148,96;0;148,96;0;147,84;0;147,84;0;147,84;0;147,84;0;147,84;0;147,84;0;147,84;0;147,84;0;146,72;0;128,96;0
90,44;0;108,12;0;115,8;0;125,22;0;116,38;0;116,38;0;90,44;0;108,12;0;115,8;0;124,64;0;115,8;0;115,8;0;117,4;0;132,76;0;129,28;0;129,28;0;130,44;0;128,12;0;114,5;0;131,6;0;129,28;0;129,28;0;128,12;0;149,28;0;149,28;0;148,12;0;148,12;0;148,12;0;129,28;0;149,28;0;148,12;0;146,96;0;149,28;0;149,28;0;148,12;0;148,12;0;148,12;0;148,12;0;148,12;0;148,12;0;148,12;0;148,12;0;146,96;0;129,28;0
90,8;0;108,4;0;116;0;125,4;0;116,6;0;116,6;0;90,8;0;108,4;0;116;0;124,8;0;116;0;116;0;118;0;133,2;0;129,6;0;129,6;0;130,8;0;128,4;0;115;0;132;0;129,6;0;129,6;0;128,4;0;149,6;0;149,6;0;148,4;0;148,4;0;148,4;0;129,6;0;149,6;0;148,4;0;147,2;0;149,6;0;149,6;0;148,4;0;148,4;0;148,4;0;148,4;0;148,4;0;148,4;0;148,4;0;148,4;0;147,2;0;129,6;0
91,16;0;108,68;0;116,2;0;125,58;0;116,82;0;116,82;0;91,16;0;108,68;0;116,2;0;124,96;0;116,2;0;116,2;0;118,6;0;133,64;0;129,92;0;129,92;0;131,16;0;128,68;0;115,5;0;132,4;0;129,92;0;129,92;0;128,68;0;149,92;0;149,92;0;148,68;0;148,68;0;148,68;0;129,92;0;149,92;0;148,68;0;147,44;0;149,92;0;149,92;0;148,68;0;148,68;0;148,68;0;148,68;0;148,68;0;148,68;0;148,68;0;148,68;0;147,44;0;129,92;0
91,52;0;108,96;0;116,4;0;125,76;0;117,04;0;117,04;0;91,52;0;108,96;0;116,4;0;125,12;0;116,4;0;116,4;0;119,2;0;134,08;0;130,24;0;130,24;0;131,52;0;128,96;0;116;0;132,8;0;130,24;0;130,24;0;128,96;0;150,24;0;150,24;0;148,96;0;148,96;0;148,96;0;130,24;0;150,24;0;148,96;0;147,68;0;150,24;0;150,24;0;148,96;0;148,96;0;148,96;0;148,96;0;148,96;0;148,96;0;148,96;0;148,96;0;147,68;0;130,24;0
91,88;0;109,24;0;116,6;0;125,94;0;117,26;0;117,26;0;91,88;0;109,24;0;116,6;0;125,28;0;116,6;0;116,6;0;119,8;0;134,52;0;130,56;0;130,56;0;131,88;0;129,24;0;116,5;0;133,2;0;130,56;0;130,56;0;129,24;0;150,56;0;150,56;0;149,24;0;149,24;0;149,24;0;130,56;0;150,56;0;149,24;0;147,92;0;150,56;0;150,56;0;149,24;0;149,24;0;149,24;0;149,24;0;149,24;0;149,24;0;149,24;0;149,24;0;147,92;0;130,56;0
92,24;0;109,52;0;116,8;0;126,12;0;117,48;0;117,48;0;92,24;0;109,52;0;116,8;0;125,44;0;116,8;0;116,8;0;120,4;0;134,96;0;130,88;0;130,88;0;132,24;0;129,52;0;117;0;133,6;0;130,88;0;130,88;0;129,52;0;150,88;0;150,88;0;149,52;0;149,52;0;149,52;0;130,88;0;150,88;0;149,52;0;148,16;0;150,88;0;150,88;0;149,52;0;149,52;0;149,52;0;149,52;0;149,52;0;149,52;0;149,52;0;149,52;0;148,16;0;130,88;0
92,6;0;109,8;0;117;0;126,3;0;117,7;0;117,7;0;92,6;0;109,8;0;117;0;125,6;0;117;0;117;0;121;0;135,4;0;131,2;0;131,2;0;132,6;0;129,8;0;117,5;0;134;0;131,2;0;131,2;0;129,8;0;151,2;0;151,2;0;149,8;0;149,8;0;149,8;0;131,2;0;151,2;0;149,8;0;148,4;0;151,2;0;151,2;0;149,8;0;149,8;0;149,8;0;149,8;0;149,8;0;149,8;0;149,8;0;149,8;0;148,4;0;131,2;0
92,96;0;110,08;0;117,2;0;126,48;0;117,92;0;117,92;0;92,96;0;110,08;0;117,2;0;125,76;0;117,2;0;117,2;0;121,6;0;135,84;0;131,52;0;131,52;0;132,96;0;130,08;0;118;0;134,4;0;131,52;0;131,52;0;130,08;0;151,52;0;151,52;0;150,08;0;150,08;0;150,08;0;131,52;0;151,52;0;150,08;0;148,64;0;151,52;0;151,52;0;150,08;0;150,08;0;150,08;0;150,08;0;150,08;0;150,08;0;150,08;0;150,08;0;148,64;0;131,52;0
93,32;0;110,36;0;117,4;0;126,66;0;118,14;0;118,14;0;93,32;0;110,36;0;117,4;0;125,92;0;117,4;0;117,4;0;122,2;0;136,28;0;131,84;0;131,84;0;133,32;0;130,36;0;118,5;0;134,8;0;131,84;0;131,84;0;130,36;0;151,84;0;151,84;0;150,36;0;150,36;0;150,36;0;131,84;0;151,84;0;150,36;0;148,88;0;151,84;0;151,84;0;150,36;0;150,36;0;150,36;0;150,36;0;150,36;0;150,36;0;150,36;0;150,36;0;148,88;0;131,84;0
93,68;0;110,64;0;117,6;0;126,84;0;118,36;0;118,36;0;93,68;0;110,64;0;117,6;0;126,08;0;117,6;0;117,6;0;122,8;0;136,72;0;132,16;0;132,16;0;133,68;0;130,64;0;119;0;135,2;0;132,16;0;132,16;0;130,64;0;152,16;0;152,16;0;150,64;0;150,64;0;150,64;0;132,16;0;152,16;0;150,64;0;149,12;0;152,16;0;152,16;0;150,64;0;150,64;0;150,64;0;150,64;1E-10;150,64;0;150,64;0;150,64;0;150,64;0;149,12;0;132,16;0
94,04;0;110,92;0;117,8;0;127,02;1,00E-10;118,58;0;118,58;0;94,04;0;110,92;0;117,8;0;126,24;0;117,8;0;117,8;0;123,4;0;137,16;0;132,48;0;132,48;0;134,04;0;130,92;0;119,5;0;135,6;0;132,48;0;132,48;0;130,92;0;152,48;0;152,48;0;150,92;0;150,92;0;150,92;1,00E-10;132,48;0;152,48;0;150,92;0;149,36;0;152,48;0;152,48;0;150,92;0;150,92;0;150,92;0;150,92;2E-10;150,92;0;150,92;0;150,92;0;150,92;0;149,36;0;132,48;0
94,4;0;111,2;0;118;0;127,2;2,00E-10;118,8;0;118,8;0;94,4;0;111,2;0;118;0;126,4;0;118;0;118;0;124;0;137,6;0;132,8;0;132,8;0;134,4;0;131,2;0;120;0;136;0;132,8;0;132,8;0;131,2;0;152,8;0;152,8;0;151,2;0;151,2;0;151,2;2,00E-10;132,8;0;152,8;0;151,2;0;149,6;0;152,8;0;152,8;0;151,2;0;151,2;0;151,2;0;151,2;3E-10;151,2;0;151,2;0;151,2;0;151,2;1,00E-10;149,6;1,00E-10;132,8;0
94,76;0;111,48;0;118,2;0;127,38;3,00E-10;119,02;0;119,02;0;94,76;0;111,48;0;118,2;0;126,56;0;118,2;0;118,2;0;124,6;0;138,04;0;133,12;0;133,12;0;134,76;0;131,48;0;120,5;0;136,4;0;133,12;0;133,12;0;131,48;0;153,12;0;153,12;0;151,48;0;151,48;0;151,48;3,00E-10;133,12;0;153,12;0;151,48;0;149,84;0;153,12;0;153,12;0;151,48;0;151,48;0;151,48;0;151,48;7E-10;151,48;0;151,48;0;151,48;0;151,48;2,00E-10;149,84;1,00E-10;133,12;0
95,12;0;111,76;0;118,4;0;127,56;5,00E-10;119,24;0;119,24;0;95,12;0;111,76;0;118,4;0;126,72;0;118,4;0;118,4;0;125,2;0;138,48;0;133,44;0;133,44;0;135,12;0;131,76;0;121;0;136,8;0;133,44;0;133,44;0;131,76;0;153,44;0;153,44;0;151,76;0;151,76;0;151,76;7,00E-10;133,44;0;153,44;0;151,76;0;150,08;0;153,44;0;153,44;0;151,76;0;151,76;0;151,76;0;151,76;1,3E-09;151,76;0;151,76;0;151,76;0;151,76;3,00E-10;150,08;2,00E-10;133,44;0
95,48;0;112,04;0;118,6;0;127,74;0,000000001;119,46;0;119,46;0;95,48;0;112,04;0;118,6;0;126,88;0;118,6;0;118,6;0;125,8;0;138,92;0;133,76;0;133,76;0;135,48;0;132,04;0;121,5;0;137,2;0;133,76;0;133,76;0;132,04;0;153,76;0;153,76;0;152,04;0;152,04;0;152,04;1,30E-09;133,76;0;153,76;0;152,04;0;150,32;0;153,76;0;153,76;0;152,04;0;152,04;0;152,04;1,00E-10;152,04;2,6E-09;152,04;0;152,04;0;152,04;0;152,04;6,00E-10;150,32;3,00E-10;133,76;0
95,84;0;112,32;0;118,8;0;127,92;1,80E-09;119,68;0;119,68;0;95,84;0;112,32;0;118,8;0;127,04;0;118,8;0;118,8;0;126,4;0;139,36;0;134,08;0;134,08;0;135,84;0;132,32;0;122;0;137,6;0;134,08;0;134,08;0;132,32;0;154,08;0;154,08;0;152,32;0;152,32;0;152,32;2,60E-09;134,08;0;154,08;0;152,32;0;150,56;0;154,08;0;154,08;0;152,32;0;152,32;0;152,32;2,00E-10;152,32;0,000000005;152,32;0;152,32;0;152,32;0;152,32;1,20E-09;150,56;6,00E-10;134,08;0
