X MnH2O;Y MnH2O;X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-
175,6;177,515581;206,4;2424,123671;199,4;2149,521209;204,8;2873,719236
175,88;153,8282785;206,72;2473,485979;199,62;2084,695573;205,04;2983,890612
176,16;133,116468;207,04;2518,674666;199,84;2029,269672;205,28;3103,534057
176,44;115,0365972;207,36;2559,279834;200,06;1982,977394;205,52;3232,22455
176,72;99,27965617;207,68;2594,96093;200,28;1945,534679;205,76;3369,505
177;85,56897389;208;2625,450223;200,5;1916,64108;206;3514,886772
177,28;73,65785481;208,32;2650,555165;200,72;1895,981213;206,24;3667,850372
177,56;63,32715095;208,64;2670,159618;200,94;1883,226106;206,48;3827,846325
177,84;54,38284703;208,96;2684,22395;201,16;1878,03446;206,72;3994,29626
178,12;46,65371638;209,28;2692,784017;201,38;1880,053821;206,96;4166,594201
178,4;39,9890894;209,6;2695,949066;201,6;1888,921689;207,2;4344,10809
178,68;34,25676254;209,92;2693,898617;201,82;1904,266568;207,44;4526,18154
178,96;29,34106455;210,24;2686,878397;202,04;1925,708961;207,68;4712,135813
179,24;25,14108736;210,56;2675,195401;202,26;1952,862338;207,92;4901,272037
179,52;21,56908188;210,88;2659,212189;202,48;1985,334072;208,16;5092,873648
179,8;18,54901389;211,2;2639,340519;202,7;2022,726362;208,4;5286,209047
180,08;16,0152711;211,52;2616,034434;202,92;2064,637153;208,64;5480,534465
180,36;13,91151014;211,84;2589,782922;203,14;2110,661059;208,88;5675,097018
180,64;12,18963061;212,16;2561,102284;203,36;2160,390294;209,12;5869,137935
180,92;10,80886286;212,48;2530,528312;203,58;2213,415622;209,36;6061,895928
181,2;9,734955899;212,8;2498,608429;203,8;2269,327333;209,6;6252,610703
181,48;8,939452274;213,12;2465,893889;204,02;2327,716239;209,84;6440,526546
181,76;8,399037745;213,44;2432,932159;204,24;2388,1747;210,08;6624,896
182,04;8,09495411;213,76;2400,259588;204,46;2450,297681;210,32;6804,983563
182,32;8,012464964;214,08;2368,394468;204,68;2513,683833;210,56;6980,069402
182,6;8,140365124;214,4;2337,830557;204,9;2577,936599;210,8;7149,453032
182,88;8,470525694;214,72;2309,031156;205,12;2642,665346;211,04;7312,456946
183,16;8,997467888;215,04;2282,423798;205,34;2707,486511;211,28;7468,430137
183,44;9,717959874;215,36;2258,395593;205,56;2772,024759;211,52;7616,751509
