Wavelengt [nm],s1.4,s2.4,s3.4,s4.4,s5.4,s6.4,s7.4
202.3,4.338381212749805e-21,4.258278299555478e-21,4.311989997729865e-21,4.229656841012726e-21,4.259207567689984e-21,4.188211482213805e-21,4.243781716657201e-21
202.4,4.3367085301076966e-21,4.243224155776499e-21,4.318680728298301e-21,4.2287275728782214e-21,4.275376833230369e-21,4.1989909925740635e-21,4.265712444631518e-21
202.5,4.35232023476738e-21,4.2356041570735576e-21,4.3242563371053305e-21,4.2294709873858255e-21,4.273890004215162e-21,4.209212942053618e-21,4.260880250332093e-21
202.6,4.349346576736964e-21,4.2489856182104295e-21,4.313290973118172e-21,4.2413656195074885e-21,4.271102199811646e-21,4.232816352670043e-21,4.264969030123914e-21
202.7,4.345071943318241e-21,4.260880250332093e-21,4.30920219332635e-21,4.2474987891952214e-21,4.294333903174271e-21,4.207726113038409e-21,4.289315855247944e-21
202.8,4.368117793053964e-21,4.300467072862003e-21,4.289315855247944e-21,4.246383667433816e-21,4.308830486072548e-21,4.2246387930864e-21,4.282253417425707e-21
202.9,4.3746226699954986e-21,4.303812438146221e-21,4.3173797529099935e-21,4.244339277537905e-21,4.329274385031657e-21,4.216832940756558e-21,4.302697316384816e-21
203.0,4.404730957553459e-21,4.308272925191845e-21,4.326672434255043e-21,4.234674888939053e-21,4.361984623366231e-21,4.2101422101881224e-21,4.3287168241509535e-21
203.1,4.40863388371838e-21,4.327229995135746e-21,4.340239749018816e-21,4.249729032718033e-21,4.377224620772112e-21,4.231329523654835e-21,4.311432436849162e-21
203.2,4.403429982165152e-21,4.307529510684241e-21,4.370162182949875e-21,4.274633418722766e-21,4.3744368163685976e-21,4.229656841012726e-21,4.33373487207728e-21
203.3,4.413651931644707e-21,4.330575360419964e-21,4.3621704769931325e-21,4.2857846363368254e-21,4.37871144978732e-21,4.2545612270174594e-21,4.350647552125271e-21
203.4,4.400642177761637e-21,4.338195359122905e-21,4.370533890203676e-21,4.291360245143855e-21,4.3744368163685976e-21,4.257163177794073e-21,4.3504616984983705e-21
203.5,4.408448030091478e-21,4.318680728298301e-21,4.364029013262142e-21,4.293962195920469e-21,4.383729497713646e-21,4.281324149291201e-21,4.3677460858001616e-21
203.6,4.4179265650634294e-21,4.321654386328716e-21,4.363471452381439e-21,4.2993519511005976e-21,4.383171936832944e-21,4.3054851207883305e-21,4.357338282693707e-21
203.7,4.406589493822469e-21,4.317193899283093e-21,4.369418768442271e-21,4.3052992671614295e-21,4.3857738876095575e-21,4.302883170011716e-21,4.354364624663291e-21
203.8,4.4179265650634294e-21,4.321096825448014e-21,4.3928363254317955e-21,4.3246280443591325e-21,4.378897303414221e-21,4.314220241252677e-21,4.351576820259776e-21
203.9,4.42554656376637e-21,4.338938773630508e-21,4.413466078017805e-21,4.325557312493637e-21,4.389119252893776e-21,4.306971949803539e-21,4.3539929174094884e-21
204.0,4.437441195888033e-21,4.374808523622399e-21,4.4181124186903304e-21,4.33373487207728e-21,4.3991553487464294e-21,4.308458778818746e-21,4.3854021803557555e-21
204.1,4.459557777489251e-21,4.39004852102828e-21,4.416439736048221e-21,4.343956821556835e-21,4.4119792490025975e-21,4.333920725704182e-21,4.406961201076271e-21
204.2,4.458070948474043e-21,4.416068028794419e-21,4.4114216881218945e-21,4.3370802373614986e-21,4.424989002885667e-21,4.345257796945142e-21,4.407890469210776e-21
204.3,4.4729392386261215e-21,4.439857293037746e-21,4.419413394078637e-21,4.3670026712925575e-21,4.4244314420049636e-21,4.37666705989141e-21,4.400270470507835e-21
204.4,4.483161188105676e-21,4.440414853918449e-21,4.432237294334805e-21,4.3729499873533894e-21,4.437069488634231e-21,4.364586574142845e-21,4.396925105223617e-21
204.5,4.4692221660881026e-21,4.45175192515941e-21,4.4556548513243304e-21,4.389490960147578e-21,4.432794855215508e-21,4.3474880404679535e-21,4.40863388371838e-21
204.6,4.488550943285805e-21,4.439485585783944e-21,4.4796299691945574e-21,4.413466078017805e-21,4.439113878530142e-21,4.3489748694831616e-21,4.4361402204997256e-21
204.7,4.490781186808617e-21,4.453982168682221e-21,4.489851918674112e-21,4.4129085171371026e-21,4.4368836350073304e-21,4.351205113005974e-21,4.452495339667014e-21
204.8,4.509552403125617e-21,4.452123632413212e-21,4.51568557281335e-21,4.414581199779212e-21,4.4435743655757656e-21,4.390791935535884e-21,4.4604870456237554e-21
