Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
725.3,1.594369114417818e-09,1.09832256538591e-09,5.56901100327471e-10,2.1585828447706823e-09
725.2,1.6558843962324335e-09,1.0374258073372828e-09,6.683593789162635e-10,2.1588349777933153e-09
725.1,1.5947415746224242e-09,9.765147949062332e-10,5.570311978663017e-10,2.0454509470887938e-09
725.0,1.5949278047247274e-09,9.766288299656122e-10,5.570962466357171e-10,2.159339243838582e-09
724.9,1.4724129552249509e-09,9.15696435960929e-10,5.571612954051324e-10,2.0459286728158885e-09
724.8,1.4725848599347692e-09,9.158033438290966e-10,4.4578107533963815e-10,1.932491561475023e-09
724.7,1.4727567646445873e-09,9.159102516972643e-10,3.343748357663778e-10,1.932717154179484e-09
724.6,1.4729286693544057e-09,9.160171595654318e-10,3.34413865028027e-10,1.8192402323613606e-09
724.5,1.411721383478215e-09,8.550491296046928e-10,2.2296859619311749e-10,1.819452554906736e-09
724.4,1.411886125491791e-09,9.162309753017671e-10,3.344919235513254e-10,1.9333939322928686e-09
724.3,1.4120508675053666e-09,9.774270753812638e-10,3.3453095281297463e-10,1.93361952499733e-09
724.2,1.4122156095189426e-09,9.164447910381024e-10,3.345699820746238e-10,1.8200895225428626e-09
724.1,1.5966038756454557e-09,9.776551455000213e-10,6.692180226725461e-10,1.9340707104062526e-09
724.0,1.5967901057477588e-09,9.777691805594002e-10,6.692960811958445e-10,1.934296303110714e-09
723.9,1.596976335850062e-09,9.77883215618779e-10,6.693741397191429e-10,2.048317301451362e-09
723.8,1.6585918954120712e-09,1.0391220788455425e-09,6.694521982424414e-10,2.0485561643149096e-09
723.7,1.6587852882106168e-09,1.1003751964547285e-09,6.695302567657397e-10,2.162616973132816e-09
723.6,1.6589786810091625e-09,1.1005034858965296e-09,5.580069294075319e-10,2.0490338900420047e-09
723.5,1.659172073807708e-09,1.1006317753383308e-09,6.696863738123365e-10,2.049272752905552e-09
723.4,1.6593654666062536e-09,1.0396067278479023e-09,6.69764432335635e-10,2.163373372200716e-09
723.3,1.6595588594047992e-09,1.0397278900984924e-09,6.698424908589333e-10,2.1636255052233496e-09
723.2,1.7212245578405052e-09,1.0398490523490823e-09,6.699205493822318e-10,2.163877638245983e-09
723.1,1.7214251133352932e-09,9.787954960938093e-10,5.583321732546086e-10,2.164129771268616e-09
723.0,1.6601390378004358e-09,1.0400913768502623e-09,6.700766664288286e-10,2.1643819042912494e-09
722.9,1.6603324305989814e-09,1.0402125391008522e-09,6.701547249521271e-10,2.1646340373138828e-09
722.8,1.660525823397527e-09,1.0403337013514423e-09,7.819382473879965e-10,2.0509447929503837e-09
722.7,1.7222273353144452e-09,1.10165809087274e-09,7.82029315665178e-10,2.1651383033591496e-09
722.6,1.7224278908092332e-09,1.1017863803145412e-09,6.703889005220223e-10,2.165390436381783e-09
722.5,1.6611060017931636e-09,1.0406971881032122e-09,7.822114522195409e-10,2.1656425694044164e-09
722.4,1.7228290017988093e-09,1.2244921768868261e-09,7.823025204967224e-10,2.3938836184720018e-09
722.3,1.7230295572935973e-09,1.2246347207110497e-09,6.706230760919175e-10,2.5081700199943703e-09
722.2,1.6616861801888003e-09,1.224777264535273e-09,6.70701134615216e-10,2.3944409651536123e-09
722.1,1.7234306682831732e-09,1.2249198083594967e-09,6.707791931385144e-10,2.280685369994684e-09
722.0,1.7236312237779612e-09,1.1638092345745342e-09,5.590477097181775e-10,2.3949983118352233e-09
721.9,1.7238317792727491e-09,1.1026844064071492e-09,5.591127584875928e-10,2.1671553675402164e-09
721.8,1.6624597513829827e-09,1.1028126958489503e-09,3.355066843542048e-10,2.1674075005628498e-09
721.7,1.7242328902623252e-09,1.1029409852907516e-09,3.35545713615854e-10,2.167659633585483e-09
721.6,1.6628465369800738e-09,1.1030692747325526e-09,4.4744632383667103e-10,2.0538111473129525e-09
721.5,1.6630399297786194e-09,1.1031975641743539e-09,4.474983628522033e-10,2.0540500101765e-09
721.4,1.7248345567466891e-09,1.1646217343726081e-09,6.713256028016033e-10,2.1684160326533834e-09
721.3,1.6634267153757105e-09,1.1647571510056204e-09,5.595030511040848e-10,2.0545277359035946e-09
721.2,1.7868512272982747e-09,1.1035824324997573e-09,5.595680998735002e-10,1.940612898835634e-09
721.1,1.7870589454893052e-09,1.1037107219415585e-09,6.715597783714986e-10,2.0550054616306893e-09
721.0,1.7872666636803356e-09,1.0425146218620618e-09,5.596981974123309e-10,2.0552443244942367e-09
720.9,1.849111429522103e-09,1.1039673008251609e-09,6.717158954180954e-10,2.16967669776655e-09
720.8,1.7876821000623965e-09,1.0427569463632418e-09,5.598282949511616e-10,2.2841356113570353e-09
720.7,1.8495411912966488e-09,1.104223879708763e-09,7.838506812088077e-10,2.1701809638118168e-09
720.6,1.7880975364444573e-09,1.1657050674367067e-09,7.839417494859892e-10,2.2846664177204738e-09
720.5,1.7883052546354876e-09,1.0431204331150117e-09,6.72028129511289e-10,2.056438638811974e-09
