lower wvl;upper wvl;0 km;5 km;10 km;15 km;20 km;25 km;30 km;40 km;50 km
542,5;547,5;6,00E+14;6,53E+14;6,58E+14;6,58E+14;6,56E+14;6,55E+14;6,56E+14;6,56E+14;6,56E+14
547,5;552,5;6,05E+14;6,57E+14;6,62E+14;6,62E+14;6,60E+14;6,60E+14;6,60E+14;6,61E+14;6,61E+14
552,5;557,5;6,05E+14;6,53E+14;6,59E+14;6,58E+14;6,56E+14;6,56E+14;6,57E+14;6,57E+14;6,58E+14
557,5;562,5;5,92E+14;6,38E+14;6,43E+14;6,43E+14;6,41E+14;6,42E+14;6,42E+14;6,43E+14;6,43E+14
562,5;567,5;5,96E+14;6,41E+14;6,45E+14;6,45E+14;6,44E+14;6,44E+14;6,45E+14;6,46E+14;6,46E+14
567,5;572,5;5,96E+14;6,39E+14;6,43E+14;6,43E+14;6,42E+14;6,43E+14;6,44E+14;6,45E+14;6,45E+14
572,5;577,5;6,10E+14;6,52E+14;6,57E+14;6,57E+14;6,56E+14;6,56E+14;6,57E+14;6,59E+14;6,59E+14
577,5;582,5;6,05E+14;6,46E+14;6,50E+14;6,50E+14;6,49E+14;6,50E+14;6,51E+14;6,52E+14;6,52E+14
582,5;587,5;6,11E+14;6,50E+14;6,54E+14;6,54E+14;6,53E+14;6,54E+14;6,55E+14;6,56E+14;6,56E+14
587,5;592,5;5,94E+14;6,31E+14;6,35E+14;6,34E+14;6,34E+14;6,34E+14;6,35E+14;6,36E+14;6,37E+14
592,5;597,5;6,09E+14;6,46E+14;6,49E+14;6,49E+14;6,48E+14;6,49E+14;6,51E+14;6,52E+14;6,52E+14
597,5;602,5;5,97E+14;6,32E+14;6,35E+14;6,35E+14;6,35E+14;6,36E+14;6,37E+14;6,38E+14;6,39E+14
602,5;607,5;6,09E+14;6,42E+14;6,46E+14;6,46E+14;6,45E+14;6,47E+14;6,48E+14;6,49E+14;6,50E+14
607,5;612,5;6,07E+14;6,39E+14;6,42E+14;6,42E+14;6,42E+14;6,43E+14;6,44E+14;6,45E+14;6,46E+14
612,5;617,5;5,98E+14;6,29E+14;6,32E+14;6,32E+14;6,31E+14;6,32E+14;6,33E+14;6,34E+14;6,34E+14
617,5;622,5;6,12E+14;6,43E+14;6,46E+14;6,45E+14;6,45E+14;6,46E+14;6,47E+14;6,48E+14;6,48E+14
622,5;627,5;6,04E+14;6,33E+14;6,36E+14;6,36E+14;6,35E+14;6,36E+14;6,37E+14;6,38E+14;6,38E+14
627,5;632,5;6,11E+14;6,39E+14;6,41E+14;6,41E+14;6,40E+14;6,41E+14;6,42E+14;6,43E+14;6,43E+14
632,5;637,5;6,12E+14;6,39E+14;6,41E+14;6,41E+14;6,40E+14;6,41E+14;6,41E+14;6,42E+14;6,42E+14
637,5;642,5;6,10E+14;6,36E+14;6,38E+14;6,38E+14;6,37E+14;6,37E+14;6,38E+14;6,39E+14;6,39E+14
642,5;647,1;6,12E+14;6,37E+14;6,39E+14;6,38E+14;6,37E+14;6,38E+14;6,38E+14;6,39E+14;6,39E+14
647,1;655;6,10E+14;6,34E+14;6,36E+14;6,35E+14;6,34E+14;6,35E+14;6,35E+14;6,36E+14;6,36E+14
655;665;5,87E+14;6,09E+14;6,11E+14;6,10E+14;6,09E+14;6,09E+14;6,10E+14;6,10E+14;6,10E+14
665;675;6,13E+14;6,33E+14;6,35E+14;6,34E+14;6,33E+14;6,33E+14;6,33E+14;6,34E+14;6,34E+14
675;685;6,11E+14;6,30E+14;6,31E+14;6,31E+14;6,29E+14;6,29E+14;6,30E+14;6,30E+14;6,30E+14
685;695;6,11E+14;6,29E+14;6,30E+14;6,29E+14;6,28E+14;6,28E+14;6,28E+14;6,28E+14;6,28E+14
695;705;6,09E+14;6,26E+14;6,27E+14;6,26E+14;6,24E+14;6,24E+14;6,24E+14;6,25E+14;6,25E+14
705;715;6,03E+14;6,18E+14;6,19E+14;6,18E+14;6,17E+14;6,17E+14;6,17E+14;6,17E+14;6,17E+14
715;725;5,91E+14;6,05E+14;6,06E+14;6,05E+14;6,03E+14;6,03E+14;6,03E+14;6,03E+14;6,03E+14
725;735;5,85E+14;5,98E+14;5,98E+14;5,98E+14;5,96E+14;5,96E+14;5,96E+14;5,96E+14;5,96E+14
