Wavelengt [nm],s1.1,s2.1,s3.1,s4.1
218.0,1.499442668548655e-21,2.7669695390940176e-21,5.433030182434522e-21,9.514053797114643e-21
218.2,1.4926118210939733e-21,2.758069518568745e-21,5.452295577136706e-21,9.34715448261882e-21
218.4,1.487643932036023e-21,2.7596621538206355e-21,5.4779827700729515e-21,9.166776363626896e-21
218.6,1.4923729802738796e-21,2.784394842438236e-21,5.434352317365065e-21,8.938825993472268e-21
218.8,1.4879783091841545e-21,2.7875801129420176e-21,5.400921191264216e-21,8.682332272620018e-21
219.0,1.4929461982421047e-21,2.772496920262345e-21,5.450406812950218e-21,8.404827474170904e-21
219.2,1.4902234128930357e-21,2.7769000883116903e-21,5.509336255568663e-21,8.122565450605522e-21
219.4,1.4877394683640606e-21,2.7883295883546723e-21,5.45985063388266e-21,7.852196489830815e-21
219.6,1.5001114228449176e-21,2.7985411908520905e-21,5.413764787732338e-21,7.560023580606535e-21
219.8,1.4998725820248239e-21,2.7848632645711446e-21,5.441529621273721e-21,7.288465313552762e-21
220.0,1.4967676513636049e-21,2.7999464572508177e-21,5.442096250529668e-21,7.014924869367207e-21
220.2,1.4995382048766927e-21,2.8238359860291818e-21,5.4640059150929356e-21,6.7294913623909775e-21
220.4,1.5002069591729551e-21,2.8195265024064178e-21,5.491392995797021e-21,6.5003516859572814e-21
220.6,1.5106681870930621e-21,2.8204633466722363e-21,5.493281759983509e-21,6.2454437068104536e-21
220.8,1.5125311454897933e-21,2.824585461441836e-21,5.482326927701876e-21,5.9782462294465944e-21
221.0,1.5124833773257748e-21,2.817371760595036e-21,5.436618834388851e-21,5.728095475416037e-21
221.2,1.5299187571926193e-21,2.8134370146785993e-21,5.430763665410737e-21,5.4846841236335294e-21
221.4,1.5302053661767318e-21,2.815872809769727e-21,5.422830855827484e-21,5.278141266502119e-21
221.6,1.5159704532991436e-21,2.823929670455763e-21,5.446629284577241e-21,5.057326734021897e-21
221.8,1.5184543978281187e-21,2.807534895803945e-21,5.506691985707579e-21,4.836115766115319e-21
222.0,1.5238999685262565e-21,2.815310703210236e-21,5.4454960260653476e-21,4.63512300495289e-21
222.2,1.5298709890286008e-21,2.8446339287303452e-21,5.382977931492574e-21,4.455934192240035e-21
222.4,1.5299665253566383e-21,2.8419170803594726e-21,5.360690514092009e-21,4.257716479062097e-21
222.6,1.5271959718435505e-21,2.833860219673436e-21,5.2643635405810886e-21,4.063859555574074e-21
222.8,1.5273392763356069e-21,2.797416977733109e-21,5.205245221543994e-21,3.886256484566642e-21
223.0,1.5188365431402689e-21,2.7969485556001995e-21,5.171625219024497e-21,3.6947781736367544e-21
223.2,1.5274825808276632e-21,2.8374202278835455e-21,5.098907797844685e-21,3.533428955109914e-21
223.4,1.5478795868636706e-21,2.8614971255150724e-21,5.008813746149178e-21,3.389126459916375e-21
223.6,1.5419563345253453e-21,2.849880256618927e-21,4.905687221566899e-21,3.2571134629398687e-21
223.8,1.535985314023001e-21,2.8336728508202727e-21,4.766485301022688e-21,3.1163788865835332e-21
224.0,1.5475452097155392e-21,2.833110744260781e-21,4.615573042522247e-21,2.96771560170008e-21
224.2,1.5365107638272075e-21,2.8289886294911814e-21,4.50224719133293e-21,2.8456134903824703e-21
224.4,1.5282468714519632e-21,2.833485481967109e-21,4.347935157296809e-21,2.726682862475708e-21
224.6,1.5341701237902885e-21,2.842947609051873e-21,4.157547727298756e-21,2.6077522345689457e-21
224.8,1.5395201581603888e-21,2.8398560229746726e-21,4.012112884939132e-21,2.4904073483676062e-21
225.0,1.5478318186996519e-21,2.8243980925886726e-21,3.871022200208432e-21,2.373855333018979e-21
225.2,1.5422907116734763e-21,2.8013517236495452e-21,3.7102883679382496e-21,2.2687999450346725e-21
225.4,1.5339312829701947e-21,2.793669600669836e-21,3.549365659249419e-21,2.1827734575154475e-21
225.6,1.5433416112818892e-21,2.816247547476054e-21,3.411108120798452e-21,2.0971434054225787e-21
225.8,1.5403322169487077e-21,2.8362023303379815e-21,3.2889050779326384e-21,2.0127026596087775e-21
226.0,1.5339312829701947e-21,2.8395749696949273e-21,3.1461145054340984e-21,1.9187474635624347e-21
226.2,1.531399570277201e-21,2.8399497074012543e-21,3.0059682027966424e-21,1.8315316697641425e-21
226.4,1.5202218198968127e-21,2.8253349368544907e-21,2.8752657210916298e-21,1.7550196324774583e-21
226.6,1.5287723212561695e-21,2.8367644368974726e-21,2.7489073970155413e-21,1.6793004660434861e-21
226.8,1.5399023034725388e-21,2.852128682856891e-21,2.6261377248937808e-21,1.6035812996095142e-21
227.0,1.5238522003622379e-21,2.8293633671975087e-21,2.5128118737044634e-21,1.5417373730979978e-21
227.2,1.5299665253566383e-21,2.8139991212380905e-21,2.4110074840527264e-21,1.4830649299973281e-21
227.4,1.5461121647949767e-21,2.8182149204342724e-21,2.3029701725855775e-21,1.4144816012377618e-21
227.6,1.5319727882454259e-21,2.822524404057036e-21,2.2085319632611463e-21,1.3617556895324305e-21
227.8,1.531733947425332e-21,2.7940443383761634e-21,2.1188156644029363e-21,1.3038761172844728e-21
