X b3lyp6311;Y b3lyp6311;DY/DX b3lyp6311;X b3lyp6311++;Y b3lyp6311++;DX/DY 6311++;X c-b631;Y c-b631;DY/DX c-b631;X c-b6311;Y c-b6311;DY/DX c-b6311;X c-b6311++;Y c-b6311++;DY/DX c-b6311++;X wb631;Y wb631;DY/DX wb631;X wb6311;Y wb6311;DY/DX wb6311;X wb6311++;Y wb6311++;DY/DX wb6311++;X b3lyp fit2;Y b3lyp fit2;DY/DX b3lyp fit2;X c-b fit2;Y c-b fit2;DY/DX c-b fit2;X wb fit2;Y wb fit2;DY/DX wb fit2
172,1;0,000129475;0;178,8;6,60E-09;0;151;0,032561593;0,00000173;149,9;1,50E-06;0;161;2,13E-08;0;149,9;0,097547957;1,04E-05;148,8;0,00413896;8,90E-09;159,9;0;0;155,4;0;0;137,6;0;0;135,4;0;0
172,32;0,000244686;0;178,96;1,11E-08;0;151,2;0,059011914;5,62E-06;150,08;3,17E-06;0;161,2;4,62E-08;0;150,08;0,164189897;2,96E-05;148,96;0,007174822;2,74E-08;160,08;0;0;155,68;0;0;137,92;0;0;135,68;0;0
172,54;0,00045645;1,00E-10;179,12;1,85E-08;0;151,4;0,105139312;1,76E-05;150,26;0,000006614;0;161,4;0,000000099;0;150,26;0,272325399;8,19E-05;149,12;0,01228623;8,19E-08;160,26;0;0;155,96;0;0;138,24;0;0;135,96;0;0
172,76;0,000840588;3,00E-10;179,28;3,08E-08;0;151,6;0,184184595;0,000053117;150,44;1,36E-05;0;161,6;2,09E-07;0;150,44;0,445133333;0,000219599;149,28;0,020784848;2,39E-07;160,44;0;0;156,24;0;0;138,56;0;0;136,24;0;0
172,98;0,001528357;9,00E-10;179,44;0,000000051;0;151,8;0,317303841;0,00015449;150,62;2,75E-05;0;161,8;4,36E-07;0;150,62;0,717131966;0,000570794;149,44;0,034739924;6,80E-07;160,62;0;0;156,52;0;0;138,88;0;0;136,52;0;0
173,2;0,002743853;2,80E-09;179,6;8,38E-08;0;152;0,537652971;0,000433263;150,8;5,48E-05;0;162;8,95E-07;0;150,8;1,138837588;0,001438711;149,6;0,057371682;1,88E-06;160,8;0;0;156,8;0;0;139,2;0;0;136,8;0;0
173,42;0,00486447;8,80E-09;179,76;1,37E-07;0;152,2;0,896198145;0,001171964;150,98;0,00010766;0;162,2;0,000001815;0;150,98;1,782892055;0,003517131;149,76;0,093623699;5,09E-06;160,98;1,00E-10;0;157,08;0;0;139,52;0;0;137,08;0;0
173,64;0,008517104;0,000000027;179,92;2,22E-07;0;152,4;1,469777584;0,003058578;151,16;0,000208496;1,00E-10;162,4;3,63E-06;0;151,16;2,751919653;0,008340602;149,92;0,15098235;1,34E-05;161,16;2,00E-10;0;157,36;0;0;139,84;0;0;137,36;0;0
173,86;0,014729002;8,08E-08;180,08;3,59E-07;0;152,6;2,372000965;0,0077037;151,34;0,00039802;2,00E-10;162,6;7,17E-06;0;151,34;4,188330552;0,019189837;150,08;0,240630839;3,45E-05;161,34;4,00E-10;0;157,64;0;0;140,16;0;0;137,64;0;0
174,08;0,025160684;2,35E-07;180,24;0,000000575;0;152,8;3,767589948;0,018732122;151,52;0,000749095;7,00E-10;162,8;1,40E-05;0;151,52;6,286196204;0,042842893;150,24;0,379047433;8,65E-05;161,52;9,00E-10;0;157,92;0;0;140,48;0;0;137,92;0;0
