X b3lyp631;Y b3lyp631;DY/DX b3lyp631;X b3lyp6311;Y b3lyp6311;DY/DX b3lyp6311;X b3lyp6311++;Y b3lyp6311++;DY/DX b3lyp6311++;X c-b631;Y c-b631;DY/DX c-b631;X c-b6311;Y c-b6311;DY/DX c-b6311;X c-b6311++;Y c-b6311++;DY/DX c-b6311++;X wb631;Y wb631;DY/DX wb631;X wb6311;Y wb6311;DY/DX wb6311;X wb6311++;Y wb6311++;DY/DX wb6311++;X b3lyp fit2;Y b3lyp fit2;DY/DX b3lyp fit2;X c-b fit2;Y c-b fit2;DY/DX c-b fit2;X wb fit2;Y wb fit2;DY/DX wb fit2
231,12;241,6306639;-37,59832552;220,96;4171,912005;-914,0672539;230,8;2761,111683;-528,0308381;195,88;4750,806585;-785,2941553;200,8;22,92970012;-0,236953551;205,72;3909,394916;858,8857439;190,8;1822,890882;-364,5632452;190,64;604,3618028;-114,4182237;205,72;152,1939755;-4,396164136;221,28;7604,232369;-690,6768805;211,12;2829,792384;-201,9130973;211,12;921,7639948;95,08123395
231,4;221,555308;-40,05705089;221,2;4002,464816;-968,8999551;231;2672,151901;-546,1737915;196,1;4607,341708;-967,4888279;201;18,172668;-0,149254325;205,9;3996,0194;795,7847257;191;1594,895794;-287,1756445;190,8;527,9053945;-91,45179262;205,9;131,5344441;-3,052493127;221,6;7427,093997;-677,8461621;211,4;2786,654006;-203,4065141;211,4;914,1929269;97,12475513
231,68;203,4396683;-41,63242809;221,44;3825,052771;-1004,249513;231,2;2580,68373;-559,2465308;196,32;4446,702917;-1117,192603;201,2;14,33543924;-0,093037956;206,08;4075,636673;721,6701329;191,2;1391,775573;-228,3593325;190,96;459,6088861;-72,50430684;206,08;114,5968715;-2,038443258;221,92;7247,322935;-660,6509097;211,68;2744,034694;-203,1788081;211,68;909,0940999;98,03201509
231,96;187,0465683;-42,27074293;221,68;3641,123259;-1020,50716;231,4;2487,12594;-567,2652068;196,54;4270,508194;-1229,456071;201,4;11,2564638;-0,057398404;206,26;4147,24121;637,6481391;191,4;1211,738443;-184,9113749;191,12;398,8362527;-57,01799879;206,26;101,0186281;-1,255649492;222,24;7065,601488;-639,7248885;211,96;2702,019738;-201,3301771;211,96;906,1602381;97,85062892
232,24;172,1906264;-41,98937637;221,92;3452,209383;-1018,707948;231,6;2391,910106;-570,335715;196,76;4080,768411;-1301,80306;201,6;8,798938433;-0,035049483;206,44;4209,949048;544,9829321;191,6;1052,91947;-153,7086859;191,28;344,965462;-44,47747239;206,44;90,48482176;-0,624439703;222,56;6882,582277;-615,7279242;212,24;2660,700107;-197,9751922;212,24;905,0976894;96,63456134
232,52;158,7346526;-40,86186344;222,16;3259,890258;-1000,426823;231,8;2295,475477;-568,6472514;196,98;3879,790179;-1334,245637;201,8;6,847877314;-0,02118553;206,62;4263,006722;445,072879;191,8;913,4298745;-131,8670141;191,44;297,3942082;-34,41540543;206,62;82,72633686;-0,078665716;222,88;6698,884995;-589,3293778;212,52;2620,170272;-193,2374412;212,52;905,6270339;94,44484316
232,8;146,5857279;-39,00224818;222,4;3065,753133;-967,6582809;232;2198,264071;-562,4639929;197,2;3670,077811;-1329,084769;202;5,307344108;-0,012676584;206,8;4305,798264;339,4252853;192;791,400095;-116,8461476;191,6;255,5445999;-26,41534659;206,8;77,51746323;0,438799766;223,2;6515,093761;-561,1924367;212,8;2580,526079;-187,2446958;212,8;907,4835636;91,34991019
233,08;135,6911971;-36,54974012;222,64;2871,358242;-922,687968;232,2;2100,716051;-552,1152268;197,42;3454,237918;-1290,534904;202,2;4,09788701;-0,007509073;206,98;4337,850159;229,6304261;192,2;685,0159402;-106,50749;191,76;218,8668509;-20,11210565;206,98;74,67319819;0,979981698;223,52;6331,75508;-531,9596059;213,08;2541,862723;-180,1247462;213,08;910,4176392;87,42554946
233,36;126,0347597;-33,65453016;222,88;2678,20715;-867,964246;232,4;2003,265434;-537,9842942;197,64;3234,889853;-1224,226308;202,4;3,154202386;-0,004403182;207,16;4358,834181;117,335299;192,4;592,5476127;-99,13201137;191,92;186,8420407;-15,19024855;207,16;74,04629247;1,595218182;223,84;6149,376373;-502,2397157;213,36;2504,272808;-172,0020089;213,36;914,1949296;82,75445655
233,64;117,6327961;-30,46541617;223,12;2487,715164;-805,9768409;232,6;1906,33618;-520,4967431;197,86;3014,584724;-1136,646259;202,6;2,423039682;-0,00255497;207,34;4368,568105;4,217341801;192,6;512,371689;-93,40728984;192,08;158,9840221;-11,38119033;207,34;75,52409832;2,336143515;224,16;5968,425087;-472,5966938;213,64;2467,844551;-162,9949693;213,64;918,596543;77,42542587
233,92;110,5310153;-27,11964682;223,36;2301,188216;-739,1484575;232,8;1810,338693;-500,1080917;198,08;2795,735154;-1034,579182;202,8;1,861350014;-0,001465078;207,52;4367,014265;-108,0417967;192,8;442,9864385;-88,39223961;192,24;134,8405603;-8,459336281;207,52;79,02526667;3,258290218;224,48;5789,328336;-443,5402734;213,92;2432,660111;-153,2144809;213,92;923,4190537;71,5322117
234,2;104,8014671;-23,73514442;223,6;2119,804449;-669,743722;233;1715,666759;-477,2916001;198,3;2580,557334;-924,5979912;203;1,434672987;-0,000826448;207,7;4354,276033;-217,7824293;193;383,0210798;-83,46743974;192,4;113,993797;-6,23766297;207,7;84,49633061;4,423336408;224,8;5612,473051;-415,5187397;214,2;2398,794085;-142,7629008;214,2;928,474435;65,17211181
234,48;100,5399109;-20,4050398;223,84;1944,60057;-599,7981922;233,2;1622,694956;-452,5264186;198,52;2371,026238;-812,6461122;203,2;1,115750677;-0,000451644;207,88;4330,59228;-323,392947;193,2;331,2397293;-78,27794891;192,56;96,06012768;-4,563063826;207,88;91,90820403;5,900996065;225,12;5438,206581;-388,9137458;214,48;2366,312161;-131,7340076;214,48;933,5899033;58,44433616
234,76;97,86349859;-17,19426682;224,08;1776,462874;-531,068571;233,4;1531,776517;-426,2864491;198,74;2168,844271;-703,7344621;203,4;0,883353927;-0,000226203;208,06;4296,329924;-423,3358136;193,4;286,540886;-72,67428332;192,72;80,68958685;-3,311714593;208,06;101,2526181;7,770519354;225,44;5266,837719;-364,0371676;214,76;2335,269948;-120,2136124;214,76;938,6076833;51,44823142
235,04;96,90869244;-14,13783486;224,32;1616,12272;-465,003784;233,6;1443,241678;-399,0302019;198,96;1975,422959;-601,7621481;203,6;0,721303796;-7,88E-05;208,24;4251,974733;-516,1732449;193,6;247,9533364;-66,65596258;192,88;67,56482741;-2,384647673;208,24;112,5385141;10,12174035;225,76;5098,638082;-341,1299082;215,04;2305,71199;-108,2807518;215,04;943,3846994;44,28143604
235,32;97,82931409;-11,24033217;224,56;1464,156116;-402,7353453;233,8;1357,396479;-371,1918744;199,18;1791,876829;-509,4558929;203,8;0,617669998;3,82E-05;208,42;4198,120534;-600,5922272;193,8;214,629348;-60,32078096;193,04;56,39977871;-1,703664398;208,42;125,7884081;13,05558248;226,08;4933,843811;-320,362518;215,32;2277,670953;-96,00932931;215,32;947,7922037;37,03804214
235,6;100,7946013;-8,476211735;224,8;1320,986994;-345,0844748;234;1274,522015;-343,1738143;199,4;1619,028162;-428,4124075;204;0,564127963;0,000161972;208,6;4135,457042;-675,4283655;194;185,8359704;-53,82180138;193,2;46,93806047;-1,207662966;208,6;141,0347431;16,6839103;226,4;4772,657515;-301,8374551;215,6;2251,167014;-83,47005987;215,6;951,7153463;29,80683783
235,88;105,9871406;-5,790467338;225,04;1186,893665;-292,5828016;234,2;1194,87411;-315,3404645;199,62;1457,420991;-359,2208583;204,2;0,555456677;0,000329205;208,78;4064,756529;-739,6879225;194,2;160,945186;-47,33304399;193,36;38,95122328;-0,849418005;208,78;158,316245;21,12860214;226,72;4615,250424;-285,5927812;215,88;2226,207415;-70,73256912;215,88;955,0526961;22,66969836
236,16;113,6005427;-3,099412083;225,28;1062,017941;-245,5031702;234,4;1118,683385;-288,0138247;199,84;1307,342549;-301,6392669;204,4;0,589160351;0,000585636;208,96;3986,859581;-792,5673222;194,4;139,4235491;-41,02398372;193,52;32,23687845;-0,592815647;208,96;177,6743007;26,51971465;227,04;4461,76469;-271,6070703;216,16;2202,786216;-57,8674971;216,16;957,7157193;15,70018632
236,44;123,8367345;-0,291411006;225,52;946,3763541;-203,8970488;234,6;1046,155678;-261,4704022;200,06;1168,850244;-254,798749;204,6;0,665198102;0,0009963;209,14;3902,660193;-833,4693703;194,6;120,8218499;-35,04230334;193,68;26,61677256;-0,410524765;209,14;199,1493809;32,99261955;227,36;4312,315773;-259,8052929;216,44;2180,884214;-44,94846692;216,44;959,6282225;8,96241087
236,72;136,9027586;2,772420905;225,76;839,8729375;-167,6352591;234,8;977,4727885;-235,9395762;200,28;1041,802311;-217,4122271;204,8;0,785807024;0,00165894;209,32;3813,090472;-862,0154985;194,8;104,765224;-29,50387509;193,84;21,93485369;-0,282069669;209,32;222,7775342;40,68401701;227,68;4166,994881;-250,0654372;216,72;2160,46904;-32,05379114;216,72;960,7257675;2,510183426
237;153,0069944;6,25737908;226;742,3130284;-136,4491635;235;912,7934786;-211,6032522;200,5;925,8903539;-187,968761;205;0,955405154;0,00272244;209,5;3719,105218;-878,0534527;195;90,94402378;-24,48866099;194;18,05536897;-0,192260669;209,5;248,5869839;49,72677031;228;4025,871407;-242,2256332;217;2141,495418;-19,26780791;217;960,955064;-3,613505496
237,28;172,3547454;10,35385798;226,24;653,4176104;-109,9699742;235,2;852,25471;-188,5966502;200,72;820,6722283;-164,9000603;205,2;1,180561847;0,004412834;209,68;3621,666647;-881,6600229;195,2;79,10566667;-20,04110705;194,16;14,86102561;-0,129935032;209,68;276,5948631;60,24356407;228,32;3888,995318;-236,0915541;217,28;2123,905575;-6,681760987;217,28;960,2733466;-9,37667781
237,56;195,1431723;15,27511069;226,48;572,8377462;-87,7644374;235,4;795,9730438;-167,0100488;200,94;725,6039089;-146,7112893;205,4;1,470023852;0,007069987;209,86;3521,729526;-873,1386197;195,4;69,04758704;-16,17363378;194,32;12,25124072;-0,086960785;209,86;306,8041307;72,33946073;228,64;3756,399469;-231,4438876;217,56;2107,629801;5,605837138;217,56;958,6477413;-14,75823069
237,84;221,5555943;21,25353788;226,72;500,1687161;-69,36573998;235,6;744,0461641;-146,8912924;201,16;640,0692813;-132,0733428;205,6;1,834785922;0,011198832;210,04;3420,226958;-853,0117252;195,6;60,61134185;-12,87195643;194,48;10,140499;-0,057458236;210,04;339,2007106;86,09351691;228,96;3628,101798;-228,0456871;217,84;2092,587138;17,48939301;217,84;956,0546276;-19,74748666
238,12;251,7552213;28,53493811;226,96;434,9635345;-54,29902471;235,8;696,5544709;-128,2488683;201,38;563,4070659;-119,8779504;205,8;2,288195101;0,017539956;210,22;3318,057064;-822,008462;195,8;53,6778569;-10,10116757;194,64;8,45683163;-0,037198041;210,22;373,7509044;101,5497169;229,28;3504,107382;-225,649439;218,12;2078,686195;28,85697812;218,12;952,4790009;-24,34345858
238,4;285,8784244;37,37019601;227,2;376,7455853;-42,10137321;236;653,5626928;-111,0553664;201,6;494,934354;-109,2600336;206;2,846077911;0,027165291;210,4;3216,070766;-781,0477051;196;48,16374903;-7,811745746;194,8;7,140424839;-0,023139481;210,4;410,3991252;118,7075798;229,6;3384,41033;-224,0037042;218,4;2065,82606;39,59161388;218,4;947,9138389;-28,55386712
238,68;324,0276953;48,00401116;227,44;325,0201757;-32,33648461;236,2;615,1214724;-95,25115219;201,82;433,9664917;-99,59365929;206,2;3,526879488;0,041605609;210,58;3115,060854;-731,2173036;196,2;44,01862053;-5,944886396;194,96;6,142362115;-0,013077484;210,58;449,0660036;137,5128936;229,92;3268,995489;-222,8592211;218,68;2053,89732;49,57305229;218,68;942,3594774;-32,39395644
238,96;366,264482;60,66048131;227,68;279,2848724;-24,60454863;236,4;581,2688793;-80,74810362;202,04;379,8332626;-90,46877344;206,4;4,351803468;0,063017339;210,76;3015,752517;-673,750065;196,4;41,22319211;-4,436762853;195,12;5,423500257;-0,005371728;210,76;489,6469138;157,8491122;230,24;3157,839966;-221,9743806;218,96;2042,783148;58,67998721;218,96;935,8229981;-35,88515919
239,24;412,602125;75,52564724;227,92;239,0385379;-18,54798173;236,6;552,0318099;-67,43329295;202,26;331,8915077;-81,65585456;206,6;5,344940993;0,094396651;210,94;2918,795439;-609,9971892;196,6;39,78811983;-3,221500502;195,28;4,953476407;0,001264593;210,94;532,0109648;179,5300147;230,56;3050,914439;-221,1200144;219,24;2032,360466;66,79261276;219,24;928,317632;-39,05366557
