X MnCl+;Y MnCl+;DY/DX MnCl+;X MnCl3-;Y MnCl3-;DY/DX MnCl3-;X MnClH2O;Y MnClH2O;DY/DX MnClH2O;X MnCl2;Y MnCl2;DY/DX MnCl2;X MnH2O;Y MnH2O;DY/DX MnH2O;X MnCl+ fit2;Y MnCl+ fit2;DY/DX MnCl+ fit2;X MnCl3- fit2;Y MnCl3- fit2;DY/DX MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;DY/DX MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;DY/DX MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;DY/DX MnH2O fit2
175;0;0;180;6,35E-08;0;161;8,40E-09;0;194;2,71E-06;0;128;0;0;135;0;0;156;0;0;136;0;0;160;0;0;121;0;0
175,5;0;0;180,2;1,21E-07;0;161,22;1,97E-08;0;194,28;5,24E-06;0;128,16;0;0;135,7;0;0;156,32;0;0;136,32;0;0;160,4;0;0;121,22;0;0
176;0;0;180,4;2,29E-07;0;161,44;4,54E-08;0;194,56;9,96E-06;0;128,32;0;0;136,4;0;0;156,64;0;0;136,64;0;0;160,8;0;0;121,44;0;0
176,5;0;0;180,6;4,30E-07;0;161,66;1,03E-07;0;194,84;1,87E-05;0;128,48;0;0;137,1;0;0;156,96;0;0;136,96;0;0;161,2;0;0;121,66;0;0
177;0;0;180,8;7,98E-07;0;161,88;2,29E-07;0;195,12;0,000034644;0;128,64;0;0;137,8;0;0;157,28;0;0;137,28;0;0;161,6;0;0;121,88;0;0
177,5;0;0;181;1,47E-06;0;162,1;5,03E-07;0;195,4;6,33E-05;0;128,8;0;0;138,5;0;0;157,6;0;0;137,6;0;0;162;0;0;122,1;0;0
178;0;0;181,2;2,67E-06;0;162,32;1,09E-06;0;195,68;0,00011424;0;128,96;0;0;139,2;0;0;157,92;0;0;137,92;0;0;162,4;0;0;122,32;0;0
178,5;0;0;181,4;0,000004824;0;162,54;2,31E-06;0;195,96;0,000203414;2,00E-10;129,12;0;0;139,9;0;0;158,24;0;0;138,24;0;0;162,8;0;0;122,54;0;0
179;0;0;181,6;8,63E-06;0;162,76;4,83E-06;0;196,24;0,00035753;5,00E-10;129,28;0;0;140,6;0;0;158,56;0;0;138,56;0;0;163,2;0;0;122,76;0;0
179,5;0;0;181,8;1,53E-05;0;162,98;9,93E-06;0;196,52;0,000620385;1,50E-09;129,44;0;0;141,3;0;0;158,88;0;0;138,88;0;0;163,6;0;0;122,98;0;0
180;0;0;182;2,69E-05;0;163,2;2,01E-05;0;196,8;0,00106285;4,50E-09;129,6;0;0;142;0;0;159,2;0;0;139,2;0;0;164;0;0;123,2;0;0
180,5;0;0;182,2;4,68E-05;0;163,42;0,000040134;0;197,08;0,00179799;1,32E-08;129,76;0;0;142,7;0;0;159,52;0;0;139,52;0;0;164,4;0;0;123,42;1E-10;0
181;0;0;182,4;8,07E-05;0;163,64;7,88E-05;1,00E-10;197,36;0,00300367;3,75E-08;129,92;0;0;143,4;0;0;159,84;0;0;139,84;0;0;164,8;0;0;123,64;1E-10;0
181,5;0;0;182,6;0,000137948;0;163,86;0,0001525;2,00E-10;197,64;0,004955756;1,04E-07;130,08;0;0;144,1;0;0;160,16;0;0;140,16;0;0;165,2;0;0;123,86;3E-10;0
182;0;0;182,8;0,000233814;0;164,08;0,000290568;7,00E-10;197,92;0,008076135;2,80E-07;130,24;0;0;144,8;0;0;160,48;0;0;140,48;0;0;165,6;0;0;124,08;6E-10;0
182,5;2,00E-10;0;183;0,000392836;0;164,3;0,000545371;2,40E-09;198,2;0,01300098;7,34E-07;130,4;0;0;145,5;0;0;160,8;0;0;140,8;0;0;166;0;0;124,3;1,4E-09;0
183;9,00E-10;0;183,2;0,00065428;0;164,52;0,001008453;8,10E-09;198,48;0,020676162;1,88E-06;130,56;0;0;146,2;0;0;161,12;0;0;141,12;0;0;166,4;0;0;124,52;0,000000003;0
183,5;4,30E-09;0;183,4;0,001080312;1,00E-10;164,74;0,001837335;0,000000026;198,76;0,032488317;4,69E-06;130,72;0;0;146,9;0;0;161,44;0;0;141,44;0;0;166,8;0;0;124,74;6,3E-09;0
184;2,04E-08;0;183,6;0,001768447;3,00E-10;164,96;0,003298672;8,08E-08;199,04;0,050441702;1,14E-05;130,88;0;0;147,6;0;0;161,76;0;0;141,76;0;0;167,2;0;0;124,96;1,34E-08;0
184,5;9,09E-08;0;183,8;0,002870217;8,00E-10;165,18;0,005836548;2,44E-07;199,32;0,077392503;2,70E-05;131,04;0;0;148,3;0;0;162,08;0;0;142,08;0;0;167,6;0;0;125,18;0,000000028;0
185;0,000000383;0;184;0,004618914;2,20E-09;165,4;0,010178564;7,12E-07;199,6;0,117353435;6,25E-05;131,2;0;0;149;0;0;162,4;1E-10;0;142,4;0;0;168;0;0;125,4;5,77E-08;0
185,5;1,53E-06;0;184,2;0,007370385;5,60E-09;165,62;0,017497535;0,000002017;199,88;0,175881927;0,000140938;131,36;0;0;149,7;0;0;162,72;2E-10;0;142,72;0;0;168,4;0;0;125,62;1,175E-07;0
186;5,81E-06;0;184,4;0,011662402;1,43E-08;165,84;0,02965329;0,000005545;200,16;0,260564679;0,000310139;131,52;0;0;150,4;0;0;163,04;3E-10;0;143,04;0;0;168,8;0;0;125,84;2,362E-07;0
186,5;2,09E-05;0;184,6;0,018300198;3,59E-08;166,06;0,049547248;1,48E-05;200,44;0,381609242;0,000665911;131,68;0;0;151,1;0;0;163,36;7E-10;0;143,36;0;0;169,2;0;0;126,06;4,687E-07;0
187;0,000071726;0;184,8;0,0284784;8,85E-08;166,28;0,08163214;3,83E-05;200,72;0,55254925;0,001395328;131,84;0;0;151,8;0;0;163,68;1,3E-09;0;143,68;0;0;169,6;0;0;126,28;9,184E-07;0
187,5;0,000233757;1,00E-10;185;0,043953096;2,14E-07;166,5;0,132629957;9,64E-05;201;0,791063442;0,002853663;132;0;0;152,5;0;0;164;2,6E-09;0;144;0;0;170;0;0;126,5;1,7775E-06;0
188;0,000725259;6,00E-10;185,2;0,067282066;5,10E-07;166,72;0,212522139;0,000235409;201,28;1,119899293;0,005697167;132,16;0;0;153,2;0;0;164,32;4,9E-09;0;144,32;0;0;170,4;0;0;126,72;3,3977E-06;0
188,5;0,002143768;5,50E-09;185,4;0,102156703;1,19E-06;166,94;0,335885865;0,000558939;201,56;1,567879817;0,0111047;132,32;1,00E-10;0;153,9;0;0;164,64;9,3E-09;0;144,64;0;0;170,8;0;0;126,94;6,4159E-06;0
189;0,006041319;4,51E-08;185,6;0,153855752;2,74E-06;167,16;0,523656929;0,001290144;201,84;2,170956973;0,021135165;132,48;3,00E-10;0;154,6;0;0;164,96;1,75E-08;0;144,96;0;0;171,2;0;0;127,16;1,19694E-05;0
189,5;0,01624284;3,35E-07;185,8;0,229858939;6,20E-06;167,38;0,80540051;0,002895961;202,12;2,973257431;0,039283683;132,64;8,00E-10;0;155,3;0;0;165,28;3,27E-08;0;145,28;0;0;171,6;0;0;127,38;2,20635E-05;0
190;0,041693762;0,000002259;186;0,340667884;1,38E-05;167,6;1,222162861;0,006323737;202,4;4,0280474;0,071314925;132,8;2,30E-09;0;156;0;0;165,6;6,04E-08;0;145,6;0;0;172;0;0;127,6;4,01897E-05;0
190,5;0,102248524;1,38E-05;186,2;0,500892269;3,01E-05;167,82;1,829955776;0,013437588;202,68;5,398523868;0,126462364;132,96;6,20E-09;0;156,7;0;0;165,92;1,104E-07;0;145,92;0;0;172,4;0;0;127,82;7,23506E-05;0
191;0,239724961;7,70E-05;186,4;0,730671016;6,47E-05;168,04;2,70388815;0,027795081;202,96;7,158322118;0,219079799;133,12;1,63E-08;0;157,4;0;0;166,24;0,0000002;0;146,24;0;0;172,8;0;0;128,04;0,000128737;0
191,5;0,537685857;0,000390091;186,6;1,057510754;0,00013677;168,26;3,94290188;0,055980624;203,24;9,391615872;0,370806495;133,28;4,23E-08;0;158,1;0;0;166,56;3,588E-07;0;146,56;0;0;173,2;1E-10;0;128,26;0,000226437;0
192;1,154483211;0,001801659;186,8;1,518636659;0,000284292;168,48;5,674991164;0,109810688;203,52;12,19267967;0,613247642;133,44;1,08E-07;0;158,8;0;0;166,88;6,378E-07;0;146,88;0;0;173,6;1E-10;0;128,48;0,000393749;1E-10
192,5;2,374490631;0,007592126;187;2,163962982;0,00058126;168,7;8,062685716;0,209841222;203,8;15,66478559;0,991066648;133,6;0,000000268;0;159,5;0;0;167,2;1,1234E-06;0;147,2;0;0;174;3E-10;0;128,7;0,000676967;2E-10
193;4,681155316;0,029220403;187,2;3,05980109;0,001169086;168,92;11,3084634;0,390719904;204,08;19,91832092;1,565228538;133,76;6,55E-07;0;160,2;0;0;167,52;1,9606E-06;0;147,52;0;0;174,4;5E-10;0;128,92;0,001150901;7E-10
193,5;8,851301447;0,10281578;187,4;4,293430285;0,002313276;169,14;15,65963421;0,708996013;204,36;25,06804134;2,415927827;133,92;1,57E-06;0;160,9;0;0;167,84;3,3909E-06;0;147,84;1E-10;0;174,8;1,1E-09;0;129,14;0,001934978;1,9E-09
194;16,06202616;0,331031555;187,6;5,978659182;0,004503499;169,36;21,41211771;1,253964795;204,64;31,22941719;3,644498609;134,08;3,69E-06;0;161,6;0;0;168,16;5,8125E-06;0;148,16;2E-10;0;175,2;2,1E-09;0;129,36;0,003217565;5,4E-09
194,5;27,98956993;0,976023606;187,8;8,262500985;0,008626794;169,58;28,91243604;2,161891669;204,92;38,51408764;5,373378235;134,24;8,53E-06;0;162,3;0;0;168,48;9,8756E-06;0;148,48;5E-10;0;175,6;4,1E-09;0;129,58;0,005292202;1,49E-08
195;46,86562668;2,637115217;188;11,33307235;0,016261477;169,8;38,55718441;3,633429078;205,2;47,02450783;7,743038468;134,4;1,93E-05;0;163;0;0;168,8;1,66327E-05;0;148,8;1,1E-09;0;176;7,8E-09;0;129,8;0,008610883;0,00000004
