Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
368.2,1.9236955622521893e-23,2.75924116889784e-23,1.7284387301792053e-23,3.431283992228466e-23
368.1,1.9953225246764728e-23,2.789786274088592e-23,1.7470240928693044e-23,3.3744118818600377e-23
368.0,2.005554947879942e-23,2.850876484470094e-23,1.7284387301792053e-23,3.393369251982847e-23
367.9,2.0567170638972874e-23,2.891603291391095e-23,1.7656094555594034e-23,3.431283992228466e-23
367.8,2.097646756711164e-23,2.952693501772597e-23,1.8027801809396015e-23,3.488156102596893e-23
367.7,2.1181116031181018e-23,3.0341471156145994e-23,1.8399509063197992e-23,3.582942953210939e-23
367.6,2.1590412959319782e-23,3.04432881734485e-23,1.914292357080195e-23,3.5639855830881304e-23
367.5,2.1897385655423853e-23,3.085055624265851e-23,1.988633807840591e-23,3.5639855830881304e-23
367.4,2.2613655279666693e-23,3.125782431186853e-23,2.025804533220789e-23,3.5639855830881304e-23
367.3,2.2818303743736072e-23,3.1563275363776034e-23,2.081560621291086e-23,3.601900323333748e-23
367.2,2.3329924903909528e-23,3.207236045028855e-23,2.025804533220789e-23,3.696687173947794e-23
367.1,2.353457336797891e-23,3.268326255410357e-23,2.025804533220789e-23,3.772516654439031e-23
367.0,2.3943870296117674e-23,3.2785079571406075e-23,2.025804533220789e-23,3.772516654439031e-23
366.9,2.47624641523952e-23,3.34977986925236e-23,2.081560621291086e-23,3.7535592843162225e-23
366.8,2.5376409544603344e-23,3.410870079633862e-23,2.1559020720514817e-23,3.7914740245618403e-23
366.7,2.599035493681149e-23,3.4617785882851136e-23,2.1559020720514817e-23,3.8104313946846495e-23
366.6,2.6399651864950255e-23,3.533050500396866e-23,2.174487434741581e-23,3.924175615421505e-23
366.5,2.680894879308902e-23,3.563595605587617e-23,2.1559020720514817e-23,3.9620903556671226e-23
366.4,2.7320569953262475e-23,3.64504921942962e-23,2.1930727974316797e-23,4.075834576403978e-23
366.3,2.803683957750531e-23,3.6959577280808714e-23,2.248828885501977e-23,4.113749316649597e-23
366.2,2.834381227360938e-23,3.767229640192623e-23,2.323170336262373e-23,4.113749316649597e-23
366.1,2.8855433433782835e-23,3.8385015523043756e-23,2.3789264243326698e-23,4.189578797140834e-23
366.0,2.957170305802567e-23,3.889410060955627e-23,2.4718532377831644e-23,4.132706686772406e-23
365.9,3.008332421819913e-23,3.95050027133713e-23,2.5647800512336596e-23,4.189578797140834e-23
365.8,3.110656653854604e-23,4.072680692100134e-23,2.5833654139237583e-23,4.322280388000498e-23
365.7,3.1618187698719495e-23,4.1235892007513857e-23,2.6577068646841545e-23,4.3412377581233074e-23
365.6,3.2232133090927635e-23,4.2050428145933884e-23,2.6948775900643525e-23,4.379152498368925e-23
365.5,3.2948402715170473e-23,4.2864964284353905e-23,2.7506336781346496e-23,4.4739393489829713e-23
365.4,3.346002387534393e-23,4.3170415336261415e-23,2.824975128895045e-23,4.4549819788601627e-23
365.3,3.4073969267552075e-23,4.3781317440076436e-23,2.8807312169653423e-23,4.5308114593513995e-23
365.2,3.4687914659760216e-23,4.429040252658895e-23,2.91790194234554e-23,4.6255983099654456e-23
365.1,3.530186005196837e-23,4.4901304630403973e-23,2.9364873050356394e-23,4.720385160579491e-23
